,aid,title,artid
0,1,For Those About To Rock We Salute You,1
1,2,Balls to the Wall,2
2,3,Restless and Wild,2
3,4,Let There Be Rock,1
4,5,Big Ones,3
5,6,Jagged Little Pill,4
6,7,Facelift,5
7,8,Warner 25 Anos,6
8,9,Plays Metallica By Four Cellos,7
9,10,Audioslave,8
10,11,Out Of Exile,8
11,12,BackBeat Soundtrack,9
12,13,The Best Of Billy Cobham,10
13,14,Alcohol Fueled Brewtality Live! [Disc 1],11
14,15,Alcohol Fueled Brewtality Live! [Disc 2],11
15,16,Black Sabbath,12
16,17,Black Sabbath Vol. 4 (Remaster),12
17,18,Body Count,13
18,19,Chemical Wedding,14
19,20,The Best Of Buddy Guy - The Millenium Collection,15
20,21,Prenda Minha,16
21,22,Sozinho Remix Ao Vivo,16
22,23,Minha Historia,17
23,24,Afrociberdelia,18
24,25,Da Lama Ao Caos,18
25,26,Acústico MTV [Live],19
26,27,Cidade Negra - Hits,19
27,28,Na Pista,20
28,29,Axé Bahia 2001,21
29,30,BBC Sessions [Disc 1] [Live],22
30,31,Bongo Fury,23
31,32,Carnaval 2001,21
32,33,Chill: Brazil (Disc 1),24
33,34,Chill: Brazil (Disc 2),6
34,35,Garage Inc. (Disc 1),50
35,36,Greatest Hits II,51
36,37,Greatest Kiss,52
37,38,Heart of the Night,53
38,39,International Superhits,54
39,40,Into The Light,55
40,41,Meus Momentos,56
41,42,Minha História,57
42,43,MK III The Final Concerts [Disc 1],58
43,44,Physical Graffiti [Disc 1],22
44,45,Sambas De Enredo 2001,21
45,46,Supernatural,59
46,47,The Best of Ed Motta,37
47,48,The Essential Miles Davis [Disc 1],68
48,49,The Essential Miles Davis [Disc 2],68
49,50,The Final Concerts (Disc 2),58
50,51,Up An' Atom,69
51,52,Vinícius De Moraes - Sem Limite,70
52,53,Vozes do MPB,21
53,54,"Chronicle, Vol. 1",76
54,55,"Chronicle, Vol. 2",76
55,56,Cássia Eller - Coleção Sem Limite [Disc 2],77
56,57,Cássia Eller - Sem Limite [Disc 1],77
57,58,Come Taste The Band,58
58,59,Deep Purple In Rock,58
59,60,Fireball,58
