,pid,tid
3150,1,3063
315,1,2712
2178,1,2641
2772,1,2271
430,1,919
2138,1,794
2817,1,2381
1667,1,1889
506,1,3439
1222,1,2042
1146,1,1718
1192,1,1928
3404,3,2920
3234,1,2126
192,1,539
3249,1,361
1793,1,3457
862,1,743
3241,1,2133
2285,1,1258
1600,1,1822
2830,1,2394
1791,1,3455
2163,1,829
2567,1,1793
70,1,2592
1173,1,1761
402,1,891
1454,1,1295
721,1,1191
810,1,526
1487,1,1346
1726,1,2563
1557,1,1560
2003,1,692
3328,3,3243
2293,1,1266
752,1,618
2725,1,2653
1499,1,1218
387,1,2587
134,1,1019
1268,1,2087
1538,1,1382
2947,1,2445
2991,1,2542
26,1,3385
1467,1,1333
679,1,126
2344,1,1396
32,1,3367
1001,1,987
1615,1,1837
2709,1,2212
463,1,657
1334,1,3117
1723,1,2560
51,1,110
2480,1,1617
450,1,2539
1206,1,375
2464,1,1601
3336,3,2840
1907,1,3049
2550,1,1712
2860,1,2682
605,1,1254
1457,1,1298
2396,1,441
1952,1,43
1840,1,1779
755,1,1903
3287,1,1966
3492,3,3429
2949,1,2447
3396,3,2897
3443,3,3344
2470,1,1607
2768,1,432
2791,1,2304
3407,3,2857
3364,3,2877
3037,1,2953
2102,1,765
439,1,1273
279,1,2477
184,1,531
2337,1,1408
2515,1,1646
1506,1,1225
3115,1,3031
2706,1,2209
3424,3,2908
746,1,612
1157,1,1739
2665,1,2155
1159,1,1744
1105,1,1692
1330,1,671
2168,1,834
1760,1,3259
1426,1,1125
410,1,899
1313,1,563
1938,1,29
879,1,241
2334,1,1370
1514,1,1233
1188,1,1924
921,1,314
443,1,2532
809,1,525
52,1,166
2960,1,2458
937,1,857
2339,1,1410
1044,1,1112
2029,1,2612
3337,3,2841
139,1,1137
965,1,591
2398,1,443
2595,1,2006
1288,1,2763
3332,3,3247
1815,1,1426
1459,1,1325
1532,1,1376
414,1,903
3383,3,2859
76,1,2598
3453,3,3175
2005,1,694
17,1,3376
1047,1,1115
1554,1,1557
599,1,1248
2697,1,2200
495,1,3500
1089,1,1523
144,1,1142
211,1,2320
1374,1,83
299,1,2497
3496,3,3216
805,1,521
3085,1,2987
2095,1,621
3169,1,3099
1226,1,2045
501,1,3445
2754,1,2270
196,1,2165
2624,1,2098
2473,1,1610
1844,1,1783
2672,1,2162
289,1,2487
1876,1,306
729,1,1199
30,1,3365
179,1,1476
2057,1,490
346,1,2793
2996,1,2547
2659,1,2149
2781,1,2280
867,1,229
1336,1,3119
229,1,2289
2880,1,2702
1861,1,291
170,1,1467
949,1,869
1894,1,2227
3356,3,3171
