,financial,company,year,value
0,total_revenue,twitter,2019,3459329
1,cost_of_revenue,twitter,2019,1137041
2,gross_profit,twitter,2019,2322288
3,operating_expenses,twitter,2019,1955915
4,net_income,twitter,2019,1465659
5,total_revenue,facebook,2019,70697000
6,cost_of_revenue,facebook,2019,12770000
7,gross_profit,facebook,2019,57927000
8,operating_expenses,facebook,2019,33941000
9,net_income,facebook,2019,18485000
10,total_revenue,snap,2019,1715534
11,cost_of_revenue,snap,2019,895838
12,gross_profit,snap,2019,819696
13,operating_expenses,snap,2019,1923024
14,net_income,snap,2019,-1033660
15,total_revenue,twitter,2018,3042359
16,cost_of_revenue,twitter,2018,964997
17,gross_profit,twitter,2018,2077362
18,operating_expenses,twitter,2018,1624037
19,net_income,twitter,2018,1205596
20,total_revenue,facebook,2018,55838000
21,cost_of_revenue,facebook,2018,9355000
22,gross_profit,facebook,2018,46483000
23,operating_expenses,facebook,2018,21570000
24,net_income,facebook,2018,22112000
25,total_revenue,snap,2018,1180446
26,cost_of_revenue,snap,2018,798865
27,gross_profit,snap,2018,381581
28,operating_expenses,snap,2018,1650031
29,net_income,snap,2018,-1255911
30,total_revenue,twitter,2017,2443299
31,cost_of_revenue,twitter,2017,861242
32,gross_profit,twitter,2017,1582057
33,operating_expenses,twitter,2017,1543317
34,net_income,twitter,2017,-108063
35,total_revenue,facebook,2017,40653000
36,cost_of_revenue,facebook,2017,5454000
37,gross_profit,facebook,2017,35199000
38,operating_expenses,facebook,2017,14996000
39,net_income,facebook,2017,15934000
40,total_revenue,snap,2017,824949
41,cost_of_revenue,snap,2017,717462
42,gross_profit,snap,2017,107487
43,operating_expenses,snap,2017,3593063
44,net_income,snap,2017,-3445066
45,total_revenue,twitter,2016,2529619
46,cost_of_revenue,twitter,2016,932240
47,gross_profit,twitter,2016,1597379
48,operating_expenses,twitter,2016,1964587
49,net_income,twitter,2016,-456873
50,total_revenue,facebook,2016,27638000
51,cost_of_revenue,facebook,2016,3789000
52,gross_profit,facebook,2016,23849000
53,operating_expenses,facebook,2016,11422000
54,net_income,facebook,2016,10217000
55,total_revenue,snap,2016,404482
56,cost_of_revenue,snap,2016,451660
57,gross_profit,snap,2016,-47178
58,operating_expenses,snap,2016,473207
59,net_income,snap,2016,-514643
