date,lag_1_day,lag_2_day,lag_3_day,lag_4_day,lag_5_day,lag_6_day,lag_7_day,lag_8_day,lag_9_day,lag_10_day
2010-01-04,,,,,,,,,,
2010-01-05,,,,,,,,,,
2010-01-06,,,,,,,,,,
2010-01-07,,,,,,,,,,
2010-01-08,,,,,,,,,,
2010-01-11,,,,,,,,,,
2010-01-12,,,,,,,,,,
2010-01-13,,,,,,,,,,
2010-01-14,,,,,,,,,,
2010-01-15,,,,,,,,,,
2010-01-19,,,,,,,,,,
2010-01-20,,,,,,,,,,
2010-01-21,,,,,,,,,,
2010-01-22,,,,,,,,,,
2010-01-25,,,,,,,,,,
2010-01-26,,,,,,,,,,
2010-01-27,,,,,,,,,,
2010-01-28,,,,,,,,,,
2010-01-29,,,,,,,,,,
2010-02-01,,,,,,,,,,
2010-02-02,,,,,,,,,,
2010-02-03,,,,,,,,,,
2010-02-04,,,,,,,,,,
2010-02-05,,,,,,,,,,
2010-02-08,,,,,,,,,,
2010-02-09,,,,,,,,,,
2010-02-10,,,,,,,,,,
2010-02-11,,,,,,,,,,
2010-02-12,,,,,,,,,,
2010-02-16,,,,,,,,,,
2010-02-17,,,,,,,,,,
2010-02-18,,,,,,,,,,
2010-02-19,,,,,,,,,,
2010-02-22,,,,,,,,,,
2010-02-23,,,,,,,,,,
2010-02-24,,,,,,,,,,
2010-02-25,,,,,,,,,,
2010-02-26,,,,,,,,,,
2010-03-01,,,,,,,,,,
2010-03-02,,,,,,,,,,
2010-03-03,0.02678155341181232,,,,,,,,,
2010-03-04,0.02981125907596704,0.02678155341181232,,,,,,,,
2010-03-05,0.037261030153712,0.02981125907596704,0.02678155341181232,,,,,,,
2010-03-08,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,,,,,,
2010-03-09,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,,,,,
2010-03-10,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,,,,
2010-03-11,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,,,
2010-03-12,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,,
2010-03-15,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232,
2010-03-16,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704,0.02678155341181232
2010-03-17,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712,0.02981125907596704
2010-03-18,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594,0.037261030153712
2010-03-19,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841,0.07785941698387594
2010-03-22,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978,0.07736107918932841
2010-03-23,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389,0.09575571977012978
2010-03-24,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996,0.10290402206274389
2010-03-25,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517,0.10376485406732996
2010-03-26,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312,0.1070857111537517
2010-03-29,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006,0.09125408409982312
2010-03-30,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336,0.09178362547827006
2010-03-31,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302,0.0889004499054336
2010-04-01,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223,0.08979335579346302
2010-04-05,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584,0.07593184834379223
2010-04-06,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732,0.08473569385129584
2010-04-07,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239,0.0992098131741732
2010-04-08,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145,0.10102480002970239
2010-04-09,0.10061948742417512,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566,0.08509805051926145
2010-04-12,0.10324237479781796,0.10061948742417512,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502,0.10174477972419566
2010-04-13,0.09997464794744515,0.10324237479781796,0.10061948742417512,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355,0.103610024338502
2010-04-14,0.09526681689269526,0.09997464794744515,0.10324237479781796,0.10061948742417512,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768,0.11492858525926355
2010-04-15,0.10499895867862574,0.09526681689269526,0.09997464794744515,0.10324237479781796,0.10061948742417512,0.10939549826088155,0.1104711189146396,0.11128753580274832,0.1053454383911993,0.10555157738416768
