,id,words,label,terms,hash,features
0,1,"['sorry', ""i'll"", 'call', 'later', 'in', 'meeting']",0,"['sorry', 'call', 'later', 'meeting']","(1024,[138,344,378,1006],[1.0,1.0,1.0,1.0])","(1024,[138,344,378,1006],[2.2391682769656747,2.892706319430574,3.684405173719015,4.244020961654438])"
1,2,"['dont', 'worry', 'i', 'guess', ""he's"", 'busy']",0,"['dont', 'worry', 'guess', 'busy']","(1024,[53,233,329,858],[1.0,1.0,1.0,1.0])","(1024,[53,233,329,858],[4.618714411095849,3.557143394108088,4.618714411095849,4.937168142214383])"
2,3,"['call', 'freephone', 'now']",1,"['call', 'freephone']","(1024,[138,396],[1.0,1.0])","(1024,[138,396],[2.2391682769656747,3.3843005812686773])"
3,4,"['win', 'a', 'cash', 'prize', 'or', 'a', 'prize', 'worth']",1,"['win', 'cash', 'prize', 'prize', 'worth']","(1024,[31,69,387,428],[1.0,2.0,1.0,1.0])","(1024,[31,69,387,428],[3.7897656893768414,7.284881949239966,4.4671645129686475,3.898659777615979])"
4,5,"['go', 'until', 'jurong', 'point', 'crazy', 'available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'there', 'got', 'amore', 'wat']",0,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']","(1024,[116,262,337,363,391,442,445,478,566,595,743,799,838,885,959,982],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[116,262,337,363,391,442,445,478,566,595,743,799,838,885,959,982],[3.7282077963774083,5.129540034861839,4.841857962410058,5.367951058306837,3.595609674935884,3.8638736615305636,2.691153400708732,4.072170704727778,4.7758999946182605,4.171700300074812,3.0425512875466203,4.864847480634757,3.813863240955902,6.680137447273006,5.258751766341845,1.776981313694862])"
5,6,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']",0,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']","(1024,[449,572,660,692,966,982],[1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[449,572,660,692,966,982],[5.160311693528593,4.60069590559317,2.9492937940600377,4.694221963603994,4.126237925998055,1.776981313694862])"
6,7,"['free', 'entry', 'in', 'a', 'wkly', 'comp', 'to', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'to', 'to', 'receive', 'entry', 'question', 'std', 'txt', 'rate', ""t&c's"", 'apply', 'over', ""'s""]",1,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'question', 'std', 'txt', 'rate', ""t&c's"", 'apply', ""'s""]","(1024,[16,24,77,131,143,193,217,236,298,340,379,428,596,625,634,758,790,889,935,952],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0])","(1024,[16,24,77,131,143,193,217,236,298,340,379,428,596,625,634,758,790,889,935,952],[3.595609674935884,4.195230797485006,4.171700300074812,3.4442640460362344,8.997826422566456,2.8269549418677937,3.009276498661748,4.5656045857819,4.451660326432682,4.093448103175064,4.988461436601934,3.898659777615979,5.367951058306837,3.342843867590331,11.706917748177077,4.694221963603994,3.4612616224048054,4.451660326432682,4.244020961654438,4.754846585420428])"
7,8,"['u', 'dun', 'say', 'so', 'early', 'hor', 'u', 'c', 'already', 'then', 'say']",0,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']","(1024,[26,212,249,303,687,700,982],[1.0,1.0,1.0,1.0,1.0,2.0,2.0])","(1024,[26,212,249,303,687,700,982],[3.2741894628522528,4.451660326432682,3.104586678466073,3.8302570507315785,4.020877410340228,6.455769789621133,3.553962627389724])"
8,9,"['nah', 'i', ""don't"", 'think', 'he', 'goes', 'to', 'usf', 'he', 'lives', 'around', 'here', 'though']",0,"['nah', 'think', 'goes', 'usf', 'lives', 'around', 'though']","(1024,[364,396,505,662,731,906,978],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[364,396,505,662,731,906,978],[4.5656045857819,3.3843005812686773,3.934699714099176,4.148710781850113,3.358189437264991,5.015129683684095,5.853458874088538])"
9,10,"['freemsg', 'hey', 'there', 'darling', ""it's"", 'been', ""week's"", 'now', 'and', 'no', 'word', 'back', ""i'd"", 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'to', 'send', 'to', 'rcv']",1,"['freemsg', 'hey', 'darling', ""week's"", 'word', 'back', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']","(1024,[112,163,174,219,251,360,386,454,479,531,594,595,596,660,750,840],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1024,[112,163,174,219,251,360,386,454,479,531,594,595,596,660,750,840],[3.255409568200657,3.317779898927115,3.4785531195148662,6.228152323529949,4.5317030341062186,3.2415525335392306,3.0692195346287816,4.937168142214383,4.797406199839225,4.58299632849377,3.608767759513395,4.171700300074812,5.367951058306837,2.9492937940600377,6.141140946540319,4.888377978044951])"
10,11,"['even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', 'they', 'treat', 'me', 'like', 'aids', 'patent']",0,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aids', 'patent']","(1024,[41,319,367,386,645,886,955],[1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1024,[41,319,367,386,645,886,955],[5.330210730323991,5.630315322774329,4.421354976937353,6.138439069257563,2.8894752988491277,4.231598441655881,3.19232559277408])"
