,mon,dom,dow,carrier,flight,org,mile,depart,duration,delay,org_idx
0,11,20,6,US,19,JFK,2153,9.48,351,,2.0
1,0,22,2,UA,1107,ORD,316,16.33,82,30.0,0.0
2,2,20,4,UA,226,SFO,337,6.17,82,-8.0,1.0
3,9,13,1,AA,419,ORD,1236,10.33,195,-5.0,0.0
4,4,2,5,AA,325,ORD,258,8.92,65,,0.0
5,5,2,1,UA,704,SFO,550,7.98,102,2.0,1.0
6,7,2,6,AA,380,ORD,733,10.83,135,54.0,0.0
7,1,16,6,UA,1477,ORD,1440,8.0,232,-7.0,0.0
8,1,22,5,UA,620,SJC,1829,7.98,250,-13.0,4.0
9,11,8,1,OO,5590,SFO,158,7.77,60,88.0,1.0
10,4,26,1,AA,1144,SFO,1464,13.25,210,-10.0,1.0
11,4,25,0,AA,321,ORD,978,13.75,160,31.0,0.0
12,8,30,2,UA,646,ORD,719,13.28,151,16.0,0.0
13,3,16,3,UA,107,ORD,1745,9.0,264,3.0,0.0
14,0,3,4,AA,1559,LGA,1097,17.08,190,32.0,3.0
15,5,9,1,UA,770,SFO,967,12.7,158,20.0,1.0
16,3,10,4,B6,937,ORD,1735,17.58,265,155.0,0.0
17,11,15,1,AA,2303,ORD,802,6.75,160,23.0,0.0
18,8,18,4,UA,802,SJC,948,6.33,160,17.0,4.0
19,2,14,5,B6,71,JFK,944,6.17,166,0.0,2.0
20,7,21,4,OO,5806,ORD,607,19.0,110,21.0,0.0
21,11,6,6,OO,5524,SFO,316,8.75,82,40.0,1.0
22,0,10,4,AA,15,JFK,2586,11.0,379,100.0,2.0
23,11,14,0,OO,6500,SJC,308,6.33,90,-28.0,4.0
24,3,1,2,OH,5105,ORD,264,13.83,75,-9.0,0.0
25,1,18,1,OO,6761,ORD,466,20.5,102,168.0,0.0
26,4,19,1,AA,181,JFK,2475,16.92,360,15.0,2.0
27,7,24,0,AA,1860,ORD,334,17.42,90,7.0,0.0
28,3,21,1,WN,342,SJC,296,15.25,60,-8.0,4.0
29,9,26,0,B6,1087,JFK,541,21.67,132,-31.0,2.0
30,5,30,1,US,58,SMF,397,20.67,83,-7.0,5.0
31,3,30,3,AA,755,ORD,1041,10.75,165,6.0,0.0
32,6,12,6,OH,5557,LGA,722,11.25,147,38.0,3.0
33,11,27,6,AA,2331,ORD,802,14.42,160,53.0,0.0
34,9,2,4,UA,909,ORD,888,15.42,153,-20.0,0.0
35,0,8,2,UA,549,ORD,334,11.08,85,,0.0
36,0,7,1,OO,5494,SFO,199,21.0,64,5.0,1.0
37,2,21,5,AA,496,ORD,612,6.58,105,18.0,0.0
38,4,14,3,OO,5889,ORD,925,14.83,166,119.0,0.0
39,7,4,1,AA,1058,ORD,1005,19.5,155,266.0,0.0
40,0,22,2,AA,678,SFO,337,16.25,80,62.0,1.0
41,2,6,4,AA,1438,ORD,409,18.33,85,45.0,0.0
42,9,9,4,UA,683,LGA,733,14.07,156,-5.0,3.0
43,3,11,5,UA,498,ORD,837,14.28,143,28.0,0.0
44,3,14,1,OO,5912,ORD,316,11.02,70,-1.0,0.0
45,10,3,1,B6,345,JFK,1041,8.33,192,-1.0,2.0
46,5,8,0,UA,574,ORD,235,14.48,79,,0.0
47,2,25,2,UA,11,JFK,2586,11.17,394,36.0,2.0
48,0,5,6,AA,1547,ORD,177,15.25,60,16.0,0.0
49,11,25,4,OO,6063,ORD,179,13.23,55,27.0,0.0
50,1,1,5,OO,6417,ORD,1013,17.55,176,92.0,0.0
