,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
0,11,20,6,US,19,JFK,9.48,351,,3465.0,2.0,"(7,[2],[1.0])",[3465.0]
1,0,22,2,UA,1107,ORD,16.33,82,30.0,509.0,0.0,"(7,[0],[1.0])",[509.0]
2,2,20,4,UA,226,SFO,6.17,82,-8.0,542.0,1.0,"(7,[1],[1.0])",[542.0]
3,9,13,1,AA,419,ORD,10.33,195,-5.0,1989.0,0.0,"(7,[0],[1.0])",[1989.0]
4,4,2,5,AA,325,ORD,8.92,65,,415.0,0.0,"(7,[0],[1.0])",[415.0]
5,5,2,1,UA,704,SFO,7.98,102,2.0,885.0,1.0,"(7,[1],[1.0])",[885.0]
6,7,2,6,AA,380,ORD,10.83,135,54.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
7,1,16,6,UA,1477,ORD,8.0,232,-7.0,2317.0,0.0,"(7,[0],[1.0])",[2317.0]
8,1,22,5,UA,620,SJC,7.98,250,-13.0,2943.0,5.0,"(7,[5],[1.0])",[2943.0]
9,11,8,1,OO,5590,SFO,7.77,60,88.0,254.0,1.0,"(7,[1],[1.0])",[254.0]
10,4,26,1,AA,1144,SFO,13.25,210,-10.0,2356.0,1.0,"(7,[1],[1.0])",[2356.0]
11,4,25,0,AA,321,ORD,13.75,160,31.0,1574.0,0.0,"(7,[0],[1.0])",[1574.0]
12,8,30,2,UA,646,ORD,13.28,151,16.0,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
13,3,16,3,UA,107,ORD,9.0,264,3.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
14,0,3,4,AA,1559,LGA,17.08,190,32.0,1765.0,3.0,"(7,[3],[1.0])",[1765.0]
15,5,9,1,UA,770,SFO,12.7,158,20.0,1556.0,1.0,"(7,[1],[1.0])",[1556.0]
16,3,10,4,B6,937,ORD,17.58,265,155.0,2792.0,0.0,"(7,[0],[1.0])",[2792.0]
17,11,15,1,AA,2303,ORD,6.75,160,23.0,1291.0,0.0,"(7,[0],[1.0])",[1291.0]
18,8,18,4,UA,802,SJC,6.33,160,17.0,1526.0,5.0,"(7,[5],[1.0])",[1526.0]
19,2,14,5,B6,71,JFK,6.17,166,0.0,1519.0,2.0,"(7,[2],[1.0])",[1519.0]
20,7,21,4,OO,5806,ORD,19.0,110,21.0,977.0,0.0,"(7,[0],[1.0])",[977.0]
21,11,6,6,OO,5524,SFO,8.75,82,40.0,509.0,1.0,"(7,[1],[1.0])",[509.0]
22,0,10,4,AA,15,JFK,11.0,379,100.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
23,11,14,0,OO,6500,SJC,6.33,90,-28.0,496.0,5.0,"(7,[5],[1.0])",[496.0]
24,3,1,2,OH,5105,ORD,13.83,75,-9.0,425.0,0.0,"(7,[0],[1.0])",[425.0]
