,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,features
0,0,1,2,AA,150,SFO,23.42,325,22.0,4352.0,1.0,"(7,[1],[1.0])",[4352.0]
1,0,1,2,AQ,245,OGG,7.08,34,-2.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
2,0,1,2,B6,29,JFK,19.17,200,33.0,1617.0,2.0,"(7,[2],[1.0])",[1617.0]
3,0,1,2,OH,5283,JFK,18.5,115,105.0,343.0,2.0,"(7,[2],[1.0])",[343.0]
4,0,1,2,OH,5366,ORD,17.5,155,27.0,1191.0,0.0,"(7,[0],[1.0])",[1191.0]
5,0,1,2,OO,6025,ORD,13.62,57,,253.0,0.0,"(7,[0],[1.0])",[253.0]
6,0,1,2,UA,432,ORD,13.63,110,34.0,964.0,0.0,"(7,[0],[1.0])",[964.0]
7,0,1,2,UA,482,SFO,18.08,144,-8.0,1556.0,1.0,"(7,[1],[1.0])",[1556.0]
8,0,1,2,UA,831,ORD,7.0,287,28.0,2971.0,0.0,"(7,[0],[1.0])",[2971.0]
9,0,1,2,UA,906,SFO,10.75,251,49.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
10,0,1,2,UA,959,ORD,19.75,153,43.0,1429.0,0.0,"(7,[0],[1.0])",[1429.0]
11,0,1,2,US,202,SJC,6.25,120,107.0,999.0,5.0,"(7,[5],[1.0])",[999.0]
12,0,1,2,US,1861,LGA,10.75,92,-11.0,539.0,3.0,"(7,[3],[1.0])",[539.0]
13,0,2,3,AA,179,JFK,8.75,395,-11.0,4162.0,2.0,"(7,[2],[1.0])",[4162.0]
14,0,2,3,AA,1442,ORD,16.58,105,82.0,985.0,0.0,"(7,[0],[1.0])",[985.0]
15,0,2,3,AA,1544,SFO,10.92,260,87.0,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
16,0,2,3,AA,2079,ORD,8.33,265,-16.0,2773.0,0.0,"(7,[0],[1.0])",[2773.0]
17,0,2,3,AQ,261,OGG,23.0,34,-11.0,161.0,6.0,"(7,[6],[1.0])",[161.0]
18,0,2,3,B6,47,JFK,19.83,205,33.0,1720.0,2.0,"(7,[2],[1.0])",[1720.0]
19,0,2,3,B6,1309,JFK,17.17,93,38.0,367.0,2.0,"(7,[2],[1.0])",[367.0]
20,0,2,3,UA,139,ORD,10.0,280,21.0,2971.0,0.0,"(7,[0],[1.0])",[2971.0]
21,0,2,3,UA,343,ORD,20.72,93,51.0,669.0,0.0,"(7,[0],[1.0])",[669.0]
22,0,2,3,UA,454,ORD,11.98,73,59.0,481.0,0.0,"(7,[0],[1.0])",[481.0]
23,0,2,3,UA,578,ORD,10.0,131,37.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
24,0,2,3,UA,678,ORD,11.0,130,35.0,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
25,0,2,3,UA,1161,ORD,20.33,242,-13.0,2313.0,0.0,"(7,[0],[1.0])",[2313.0]
26,0,2,3,WN,632,SFO,19.42,90,11.0,666.0,1.0,"(7,[1],[1.0])",[666.0]
27,0,2,3,WN,3515,SMF,7.25,75,4.0,626.0,4.0,"(7,[4],[1.0])",[626.0]
28,0,3,4,AA,743,LGA,12.75,250,-7.0,2235.0,3.0,"(7,[3],[1.0])",[2235.0]
29,0,3,4,AA,1559,LGA,17.08,190,32.0,1765.0,3.0,"(7,[3],[1.0])",[1765.0]
30,0,3,4,AA,1909,ORD,9.67,265,44.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
31,0,3,4,B6,807,JFK,17.25,200,50.0,1720.0,2.0,"(7,[2],[1.0])",[1720.0]
32,0,3,4,B6,1081,JFK,7.0,135,42.0,871.0,2.0,"(7,[2],[1.0])",[871.0]
33,0,3,4,OO,3894,ORD,11.75,120,17.0,975.0,0.0,"(7,[0],[1.0])",[975.0]
34,0,3,4,OO,5709,SMF,21.5,59,,333.0,4.0,"(7,[4],[1.0])",[333.0]
35,0,3,4,OO,5979,ORD,17.75,53,39.0,196.0,0.0,"(7,[0],[1.0])",[196.0]
36,0,3,4,UA,333,LGA,14.0,268,26.0,2606.0,3.0,"(7,[3],[1.0])",[2606.0]
37,0,3,4,UA,421,ORD,10.32,285,42.0,2953.0,0.0,"(7,[0],[1.0])",[2953.0]
38,0,3,4,UA,433,ORD,17.15,89,56.0,669.0,0.0,"(7,[0],[1.0])",[669.0]
39,0,3,4,UA,818,ORD,21.0,125,,1157.0,0.0,"(7,[0],[1.0])",[1157.0]
40,0,3,4,US,31,OGG,23.73,341,21.0,4579.0,6.0,"(7,[6],[1.0])",[4579.0]
41,0,4,5,AA,607,ORD,19.83,265,17.0,2808.0,0.0,"(7,[0],[1.0])",[2808.0]
42,0,4,5,B6,38,JFK,17.25,98,1.0,425.0,2.0,"(7,[2],[1.0])",[425.0]
43,0,4,5,B6,918,ORD,19.0,139,-23.0,1191.0,0.0,"(7,[0],[1.0])",[1191.0]
44,0,4,5,OH,5523,LGA,6.92,112,-7.0,694.0,3.0,"(7,[3],[1.0])",[694.0]
45,0,4,5,OO,5443,SFO,15.92,101,112.0,529.0,1.0,"(7,[1],[1.0])",[529.0]
46,0,4,5,OO,5737,SFO,11.08,57,,246.0,1.0,"(7,[1],[1.0])",[246.0]
47,0,4,5,OO,6011,ORD,10.97,78,-5.0,520.0,0.0,"(7,[0],[1.0])",[520.0]
48,0,4,5,UA,44,OGG,14.13,313,25.0,4001.0,6.0,"(7,[6],[1.0])",[4001.0]
49,0,4,5,UA,144,SFO,7.42,88,,719.0,1.0,"(7,[1],[1.0])",[719.0]
50,0,4,5,UA,270,SMF,9.0,239,255.0,2866.0,4.0,"(7,[4],[1.0])",[2866.0]
51,0,4,5,UA,670,ORD,7.0,125,,1180.0,0.0,"(7,[0],[1.0])",[1180.0]
52,0,4,5,UA,843,SFO,11.75,251,,2971.0,1.0,"(7,[1],[1.0])",[2971.0]
53,0,4,5,WN,644,TUS,18.83,70,15.0,591.0,7.0,"(7,[],[])",[591.0]
54,0,4,5,WN,724,TUS,20.08,95,116.0,726.0,7.0,"(7,[],[])",[726.0]
55,0,5,6,AA,1096,SMF,8.08,205,-23.0,2303.0,4.0,"(7,[4],[1.0])",[2303.0]
56,0,5,6,AA,1540,TUS,15.5,130,-8.0,1308.0,7.0,"(7,[],[])",[1308.0]
57,0,5,6,AA,1547,ORD,15.25,60,16.0,285.0,0.0,"(7,[0],[1.0])",[285.0]
58,0,5,6,AA,2247,ORD,9.08,170,16.0,1802.0,0.0,"(7,[0],[1.0])",[1802.0]
59,0,5,6,OO,5975,ORD,15.75,90,28.0,658.0,0.0,"(7,[0],[1.0])",[658.0]
60,0,5,6,OO,6356,SFO,21.25,104,23.0,964.0,1.0,"(7,[1],[1.0])",[964.0]
61,0,5,6,OO,6397,SFO,14.0,74,163.0,584.0,1.0,"(7,[1],[1.0])",[584.0]
62,0,5,6,UA,371,ORD,17.77,270,87.0,2799.0,0.0,"(7,[0],[1.0])",[2799.0]
63,0,5,6,UA,398,ORD,11.08,124,14.0,1260.0,0.0,"(7,[0],[1.0])",[1260.0]
64,0,5,6,UA,891,JFK,6.83,377,55.0,3983.0,2.0,"(7,[2],[1.0])",[3983.0]
65,0,5,6,UA,972,ORD,9.0,161,104.0,1429.0,0.0,"(7,[0],[1.0])",[1429.0]
66,0,5,6,UA,1187,SFO,19.33,69,53.0,525.0,1.0,"(7,[1],[1.0])",[525.0]
67,0,5,6,WN,3142,SJC,18.67,80,105.0,621.0,5.0,"(7,[5],[1.0])",[621.0]
68,0,6,0,AA,1551,LGA,18.92,150,-11.0,1230.0,3.0,"(7,[3],[1.0])",[1230.0]
69,0,6,0,B6,937,ORD,17.58,265,171.0,2792.0,0.0,"(7,[0],[1.0])",[2792.0]
70,0,6,0,OO,5497,SFO,22.58,81,26.0,402.0,1.0,"(7,[1],[1.0])",[402.0]
71,0,6,0,OO,5557,SFO,8.83,45,6.0,124.0,1.0,"(7,[1],[1.0])",[124.0]
72,0,6,0,OO,5939,ORD,21.5,57,,257.0,0.0,"(7,[0],[1.0])",[257.0]
73,0,6,0,OO,6439,ORD,20.5,66,,343.0,0.0,"(7,[0],[1.0])",[343.0]
