,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,org_idx,org_dummy,depart_bucket,depart_dummy,dow_dummy,mon_dummy,features
0,0,1,2,AA,2328,ORD,11.08,105,18.0,985.0,0.0,"(7,[0],[1.0])",3.0,"(7,[3],[1.0])","(6,[2],[1.0])","(11,[0],[1.0])","(32,[0,1,11,17,21],[985.0,1.0,1.0,1.0,1.0])"
1,0,2,3,AA,1442,ORD,16.58,105,82.0,985.0,0.0,"(7,[0],[1.0])",5.0,"(7,[5],[1.0])","(6,[3],[1.0])","(11,[0],[1.0])","(32,[0,1,13,18,21],[985.0,1.0,1.0,1.0,1.0])"
2,0,2,3,AA,1513,ORD,18.75,160,58.0,1429.0,0.0,"(7,[0],[1.0])",6.0,"(7,[6],[1.0])","(6,[3],[1.0])","(11,[0],[1.0])","(32,[0,1,14,18,21],[1429.0,1.0,1.0,1.0,1.0])"
3,0,2,3,UA,139,ORD,10.0,280,21.0,2971.0,0.0,"(7,[0],[1.0])",3.0,"(7,[3],[1.0])","(6,[3],[1.0])","(11,[0],[1.0])","(32,[0,1,11,18,21],[2971.0,1.0,1.0,1.0,1.0])"
4,0,2,3,WN,343,SJC,21.42,105,2.0,916.0,5.0,"(7,[5],[1.0])",7.0,"(7,[],[])","(6,[3],[1.0])","(11,[0],[1.0])","(32,[0,6,18,21],[916.0,1.0,1.0,1.0])"
5,0,2,3,WN,632,SFO,19.42,90,11.0,666.0,1.0,"(7,[1],[1.0])",6.0,"(7,[6],[1.0])","(6,[3],[1.0])","(11,[0],[1.0])","(32,[0,2,14,18,21],[666.0,1.0,1.0,1.0,1.0])"
6,0,3,4,AA,1559,LGA,17.08,190,32.0,1765.0,3.0,"(7,[3],[1.0])",5.0,"(7,[5],[1.0])","(6,[4],[1.0])","(11,[0],[1.0])","(32,[0,4,13,19,21],[1765.0,1.0,1.0,1.0,1.0])"
7,0,3,4,UA,604,ORD,15.0,107,5.0,985.0,0.0,"(7,[0],[1.0])",5.0,"(7,[5],[1.0])","(6,[4],[1.0])","(11,[0],[1.0])","(32,[0,1,13,19,21],[985.0,1.0,1.0,1.0,1.0])"
8,0,4,5,OH,5523,LGA,6.92,112,-7.0,694.0,3.0,"(7,[3],[1.0])",2.0,"(7,[2],[1.0])","(6,[5],[1.0])","(11,[0],[1.0])","(32,[0,4,10,20,21],[694.0,1.0,1.0,1.0,1.0])"
9,0,5,6,AA,1547,ORD,15.25,60,16.0,285.0,0.0,"(7,[0],[1.0])",5.0,"(7,[5],[1.0])","(6,[],[])","(11,[0],[1.0])","(32,[0,1,13,21],[285.0,1.0,1.0,1.0])"
10,0,5,6,OO,5975,ORD,15.75,90,28.0,658.0,0.0,"(7,[0],[1.0])",5.0,"(7,[5],[1.0])","(6,[],[])","(11,[0],[1.0])","(32,[0,1,13,21],[658.0,1.0,1.0,1.0])"
11,0,5,6,OO,6356,SFO,21.25,104,23.0,964.0,1.0,"(7,[1],[1.0])",7.0,"(7,[],[])","(6,[],[])","(11,[0],[1.0])","(32,[0,2,21],[964.0,1.0,1.0])"
12,0,5,6,OO,6397,SFO,14.0,74,163.0,584.0,1.0,"(7,[1],[1.0])",4.0,"(7,[4],[1.0])","(6,[],[])","(11,[0],[1.0])","(32,[0,2,12,21],[584.0,1.0,1.0,1.0])"
13,0,5,6,UA,371,ORD,17.77,270,87.0,2799.0,0.0,"(7,[0],[1.0])",5.0,"(7,[5],[1.0])","(6,[],[])","(11,[0],[1.0])","(32,[0,1,13,21],[2799.0,1.0,1.0,1.0])"
14,0,5,6,US,607,ORD,5.0,220,9.0,2317.0,0.0,"(7,[0],[1.0])",1.0,"(7,[1],[1.0])","(6,[],[])","(11,[0],[1.0])","(32,[0,1,9,21],[2317.0,1.0,1.0,1.0])"
15,0,6,0,WN,173,SJC,16.5,105,45.0,916.0,5.0,"(7,[5],[1.0])",5.0,"(7,[5],[1.0])","(6,[0],[1.0])","(11,[0],[1.0])","(32,[0,6,13,15,21],[916.0,1.0,1.0,1.0,1.0])"
16,0,6,0,WN,1655,TUS,12.0,95,18.0,726.0,7.0,"(7,[],[])",4.0,"(7,[4],[1.0])","(6,[0],[1.0])","(11,[0],[1.0])","(32,[0,12,15,21],[726.0,1.0,1.0,1.0])"
