,mon,dom,dow,carrier,flight,org,depart,duration,delay,km,features
0,0,1,2,AQ,245,OGG,7.08,34,-2.0,161.0,[161.0]
1,0,1,2,US,202,SJC,6.25,120,107.0,999.0,[999.0]
2,0,2,3,B6,47,JFK,19.83,205,33.0,1720.0,[1720.0]
3,0,2,3,UA,224,SFO,23.18,297,16.0,3893.0,[3893.0]
4,0,2,3,WN,632,SFO,19.42,90,11.0,666.0,[666.0]
5,0,2,3,WN,2645,SJC,16.75,55,21.0,303.0,[303.0]
6,0,3,4,AA,743,LGA,12.75,250,-7.0,2235.0,[2235.0]
7,0,3,4,AA,1559,LGA,17.08,190,32.0,1765.0,[1765.0]
8,0,3,4,B6,807,JFK,17.25,200,50.0,1720.0,[1720.0]
9,0,3,4,UA,333,LGA,14.0,268,26.0,2606.0,[2606.0]
10,0,3,4,UA,421,ORD,10.32,285,42.0,2953.0,[2953.0]
11,0,3,4,UA,818,ORD,21.0,125,,1157.0,[1157.0]
12,0,4,5,OO,5737,SFO,11.08,57,,246.0,[246.0]
13,0,5,6,AA,1547,ORD,15.25,60,16.0,285.0,[285.0]
14,0,5,6,UA,398,ORD,11.08,124,14.0,1260.0,[1260.0]
15,0,5,6,WN,361,SJC,18.92,70,26.0,496.0,[496.0]
16,0,5,6,WN,3142,SJC,18.67,80,105.0,621.0,[621.0]
17,0,6,0,OO,5497,SFO,22.58,81,26.0,402.0,[402.0]
18,0,6,0,OO,5557,SFO,8.83,45,6.0,124.0,[124.0]
19,0,6,0,OO,6439,ORD,20.5,66,,343.0,[343.0]
20,0,6,0,UA,835,LGA,7.75,146,36.0,1180.0,[1180.0]
21,0,6,0,WN,173,SJC,16.5,105,45.0,916.0,[916.0]
22,0,6,0,WN,343,SJC,21.42,105,60.0,916.0,[916.0]
23,0,6,0,WN,1655,TUS,12.0,95,18.0,726.0,[726.0]
24,0,7,1,AA,185,JFK,20.75,385,29.0,3983.0,[3983.0]
25,0,7,1,OO,5475,SFO,13.83,79,123.0,402.0,[402.0]
26,0,7,1,OO,5877,ORD,20.0,99,340.0,705.0,[705.0]
27,0,7,1,UA,390,SJC,16.97,147,-12.0,1526.0,[1526.0]
28,0,7,1,UA,687,LGA,16.0,158,135.0,1180.0,[1180.0]
29,0,8,2,AA,386,ORD,8.75,120,,1180.0,[1180.0]
30,0,8,2,UA,127,ORD,18.5,271,131.0,2808.0,[2808.0]
31,0,8,2,UA,1477,ORD,8.62,232,16.0,2317.0,[2317.0]
32,0,8,2,UA,1506,SFO,18.22,117,,1048.0,[1048.0]
33,0,9,3,AA,874,ORD,19.42,130,27.0,1395.0,[1395.0]
34,0,9,3,AA,1306,SFO,6.92,210,13.0,2356.0,[2356.0]
35,0,9,3,AA,1559,LGA,17.08,190,3.0,1765.0,[1765.0]
36,0,9,3,OH,5059,JFK,12.12,92,-12.0,425.0,[425.0]
37,0,9,3,UA,1568,ORD,19.2,156,66.0,1629.0,[1629.0]
38,0,9,3,US,856,ORD,20.42,120,-22.0,1091.0,[1091.0]
39,0,10,4,AA,423,JFK,11.5,190,-25.0,1754.0,[1754.0]
40,0,10,4,AA,554,SFO,16.58,245,110.0,2971.0,[2971.0]
41,0,10,4,OH,4941,JFK,11.5,87,51.0,343.0,[343.0]
42,0,10,4,UA,850,ORD,19.0,129,,1180.0,[1180.0]
43,0,11,5,AA,451,ORD,10.17,285,73.0,2971.0,[2971.0]
44,0,11,5,B6,95,JFK,20.83,407,,4146.0,[4146.0]
45,0,11,5,HA,177,OGG,14.97,34,6.0,161.0,[161.0]
46,0,11,5,OH,5543,LGA,13.47,147,81.0,941.0,[941.0]
47,0,11,5,OO,5554,SFO,15.33,79,19.0,422.0,[422.0]
48,0,11,5,UA,1532,ORD,13.17,153,21.0,1617.0,[1617.0]
49,0,12,6,UA,247,ORD,9.75,157,71.0,1429.0,[1429.0]
50,0,12,6,UA,720,SFO,14.42,147,231.0,1556.0,[1556.0]
51,0,13,0,UA,409,LGA,17.15,271,9.0,2606.0,[2606.0]
52,0,14,1,UA,129,ORD,20.0,279,39.0,2808.0,[2808.0]
53,0,15,2,AA,324,SFO,15.08,210,-16.0,2356.0,[2356.0]
54,0,15,2,B6,172,SMF,0.25,308,0.0,4057.0,[4057.0]
55,0,15,2,UA,148,ORD,18.0,124,-8.0,1091.0,[1091.0]
56,0,16,3,AA,763,LGA,16.98,255,17.0,2235.0,[2235.0]
57,0,17,4,AA,178,SFO,13.5,323,61.0,4162.0,[4162.0]
58,0,17,4,OO,6153,ORD,16.83,56,,257.0,[257.0]
59,0,17,4,UA,442,ORD,18.62,80,40.0,509.0,[509.0]
60,0,18,5,AA,350,ORD,18.25,130,115.0,1180.0,[1180.0]
61,0,18,5,B6,915,JFK,13.75,164,7.0,1191.0,[1191.0]
62,0,18,5,OO,5817,ORD,7.0,55,-5.0,253.0,[253.0]
63,0,18,5,OO,6677,SFO,8.17,82,9.0,678.0,[678.0]
64,0,18,5,WN,2996,TUS,6.42,75,-6.0,587.0,[587.0]
65,0,18,5,WN,3864,SMF,15.42,75,1.0,626.0,[626.0]
66,0,19,6,AA,2378,ORD,16.08,180,5.0,1926.0,[1926.0]
67,0,21,1,B6,97,JFK,21.33,275,92.0,2617.0,[2617.0]
68,0,21,1,UA,522,SFO,22.5,102,33.0,885.0,[885.0]
69,0,21,1,UA,544,SFO,16.15,100,142.0,885.0,[885.0]
70,0,21,1,UA,548,SFO,13.08,108,190.0,964.0,[964.0]
71,0,21,1,WN,702,TUS,16.92,90,23.0,726.0,[726.0]
72,0,22,2,UA,543,ORD,20.5,241,66.0,2411.0,[2411.0]
73,0,22,2,WN,2283,SFO,18.25,85,6.0,666.0,[666.0]
74,0,23,3,AA,272,SFO,21.83,293,,4160.0,[4160.0]
75,0,23,3,AA,889,ORD,18.25,270,,2808.0,[2808.0]
76,0,23,3,AA,1509,ORD,21.92,225,114.0,2438.0,[2438.0]
77,0,23,3,AA,1943,SFO,18.25,80,16.0,542.0,[542.0]
78,0,23,3,UA,176,SFO,11.5,333,-18.0,4352.0,[4352.0]
79,0,24,4,OO,5452,SFO,19.5,43,,124.0,[124.0]
80,0,24,4,UA,8,SFO,9.42,324,30.0,4162.0,[4162.0]
81,0,25,5,B6,133,JFK,10.17,205,27.0,1728.0,[1728.0]
82,0,25,5,UA,434,ORD,7.93,74,-14.0,378.0,[378.0]
83,0,25,5,UA,717,ORD,19.92,265,54.0,2773.0,[2773.0]
84,0,26,6,B6,612,JFK,14.33,75,-28.0,301.0,[301.0]
85,0,26,6,OO,5870,ORD,18.03,57,63.0,288.0,[288.0]
86,0,26,6,OO,6647,ORD,6.0,89,7.0,669.0,[669.0]
87,0,26,6,UA,11,JFK,11.17,394,165.0,4162.0,[4162.0]
88,0,26,6,UA,46,OGG,21.83,300,10.0,4001.0,[4001.0]
89,0,27,0,OO,5563,SMF,8.48,50,-14.0,138.0,[138.0]
90,0,27,0,UA,566,ORD,18.25,117,-12.0,975.0,[975.0]
91,0,27,0,WN,2799,SFO,20.83,85,108.0,719.0,[719.0]
92,0,29,2,AA,1540,TUS,15.5,130,68.0,1308.0,[1308.0]
93,0,29,2,AA,1544,SFO,10.92,260,109.0,2971.0,[2971.0]
94,0,29,2,UA,546,ORD,13.17,68,,386.0,[386.0]
95,0,30,3,B6,1004,JFK,9.83,85,-18.0,301.0,[301.0]
96,0,30,3,OO,3835,SFO,10.25,107,7.0,964.0,[964.0]
97,0,30,3,OO,5951,ORD,8.25,108,-4.0,790.0,[790.0]
98,0,31,4,AA,201,JFK,6.5,375,0.0,3983.0,[3983.0]
99,0,31,4,AA,1757,LGA,12.92,170,21.0,1427.0,[1427.0]
100,0,31,4,OO,5931,ORD,19.5,110,,1053.0,[1053.0]
101,0,31,4,UA,770,SFO,13.42,145,64.0,1556.0,[1556.0]
102,1,1,5,OO,5862,ORD,13.17,104,,977.0,[977.0]
103,1,1,5,UA,658,ORD,18.0,141,149.0,1157.0,[1157.0]
104,1,1,5,WN,1754,SMF,17.17,80,141.0,600.0,[600.0]
105,1,2,6,B6,72,JFK,16.25,70,76.0,336.0,[336.0]
106,1,2,6,UA,111,ORD,11.08,271,96.0,2808.0,[2808.0]
107,1,2,6,UA,562,SFO,13.3,105,141.0,885.0,[885.0]
108,1,3,0,AA,1417,ORD,14.5,240,88.0,2438.0,[2438.0]
109,1,3,0,UA,906,SFO,10.75,254,30.0,2971.0,[2971.0]
110,1,3,0,UA,1264,ORD,18.85,131,,1357.0,[1357.0]
111,1,3,0,WN,1223,SMF,12.75,235,6.0,2881.0,[2881.0]
112,1,4,1,AA,312,TUS,9.5,130,19.0,1308.0,[1308.0]
113,1,4,1,UA,446,ORD,15.75,108,214.0,964.0,[964.0]
114,1,4,1,UA,502,ORD,20.25,146,114.0,1347.0,[1347.0]
115,1,5,2,AA,2329,ORD,13.75,150,36.0,1291.0,[1291.0]
116,1,5,2,AA,2361,ORD,21.0,140,157.0,1291.0,[1291.0]
117,1,6,3,OO,5496,SFO,21.42,66,12.0,307.0,[307.0]
118,1,7,4,AA,1201,ORD,15.0,70,54.0,415.0,[415.0]
119,1,7,4,AA,2426,SJC,18.42,190,-11.0,2314.0,[2314.0]
120,1,7,4,UA,174,ORD,18.62,114,63.0,1033.0,[1033.0]
121,1,10,0,B6,185,JFK,17.83,395,72.0,3936.0,[3936.0]
122,1,10,0,UA,59,SFO,8.83,336,249.0,3809.0,[3809.0]
123,1,10,0,UA,88,SFO,10.83,334,-12.0,4128.0,[4128.0]
124,1,10,0,WN,1063,SMF,22.17,80,-20.0,600.0,[600.0]
125,1,10,0,WN,1538,SMF,18.75,110,12.0,1041.0,[1041.0]
126,1,11,1,OH,5246,JFK,8.58,143,22.0,818.0,[818.0]
127,1,12,2,AA,1686,ORD,7.17,105,33.0,1041.0,[1041.0]
128,1,12,2,AA,2305,ORD,7.58,150,29.0,1291.0,[1291.0]
129,1,12,2,OO,5474,SFO,8.67,79,20.0,402.0,[402.0]
130,1,12,2,OO,5575,SFO,19.25,75,3.0,383.0,[383.0]
131,1,12,2,WN,3753,SMF,19.42,75,-2.0,626.0,[626.0]
132,1,13,3,AA,637,LGA,13.08,185,262.0,1765.0,[1765.0]
133,1,13,3,AA,1904,ORD,17.83,180,99.0,1926.0,[1926.0]
134,1,13,3,US,2189,LGA,20.0,82,,344.0,[344.0]
135,1,14,4,OO,5863,ORD,8.6,99,92.0,705.0,[705.0]
136,1,14,4,OO,6077,ORD,16.17,99,1.0,705.0,[705.0]
137,1,15,5,AA,1957,SFO,21.42,80,29.0,542.0,[542.0]
138,1,15,5,B6,27,JFK,13.67,173,15.0,1654.0,[1654.0]
139,1,15,5,OO,5851,ORD,8.3,110,36.0,840.0,[840.0]
140,1,16,6,AA,1450,ORD,14.25,145,17.0,1157.0,[1157.0]
141,1,16,6,OO,5741,SFO,11.0,45,61.0,126.0,[126.0]
142,1,17,0,B6,1731,ORD,7.0,125,-24.0,1191.0,[1191.0]
143,1,17,0,US,208,SJC,16.2,110,32.0,999.0,[999.0]
144,1,18,1,AA,554,SFO,16.58,245,18.0,2971.0,[2971.0]
145,1,18,1,WN,3862,SJC,6.5,70,-1.0,536.0,[536.0]
146,1,19,2,B6,803,JFK,6.0,175,16.0,1720.0,[1720.0]
147,1,19,2,OO,6371,ORD,9.75,176,2.0,1630.0,[1630.0]
148,1,19,2,UA,540,ORD,17.0,139,-3.0,1395.0,[1395.0]
149,1,19,2,UA,549,ORD,11.17,85,20.0,538.0,[538.0]
150,1,20,3,UA,877,JFK,7.25,396,26.0,4162.0,[4162.0]
151,1,20,3,WN,1489,SJC,18.17,110,32.0,999.0,[999.0]
152,1,21,4,AA,1447,ORD,14.0,135,75.0,1347.0,[1347.0]
153,1,21,4,OO,6081,ORD,19.83,97,-3.0,764.0,[764.0]
154,1,21,4,WN,702,TUS,16.92,90,-1.0,726.0,[726.0]
155,1,22,5,AA,2463,ORD,7.75,85,-4.0,649.0,[649.0]
156,1,22,5,OH,5348,ORD,7.83,77,,425.0,[425.0]
157,1,22,5,UA,385,ORD,15.08,85,30.0,538.0,[538.0]
158,1,22,5,UA,620,SJC,7.98,250,-13.0,2943.0,[2943.0]
159,1,22,5,WN,1172,SMF,6.17,110,-13.0,1041.0,[1041.0]
160,1,23,6,OO,6384,SFO,8.33,93,71.0,840.0,[840.0]
161,1,23,6,OO,6644,TUS,6.0,113,4.0,1028.0,[1028.0]
162,1,24,0,AA,2357,ORD,20.42,145,35.0,1291.0,[1291.0]
163,1,24,0,UA,566,ORD,18.08,116,19.0,975.0,[975.0]
164,1,25,1,AA,1994,SFO,9.42,200,10.0,2356.0,[2356.0]
165,1,25,1,OO,5869,ORD,10.2,56,,209.0,[209.0]
166,1,25,1,UA,1564,ORD,18.67,170,178.0,1841.0,[1841.0]
167,1,26,2,OH,5394,LGA,20.5,145,74.0,1032.0,[1032.0]
168,1,27,3,B6,1,JFK,10.92,184,24.0,1720.0,[1720.0]
169,1,27,3,B6,1309,JFK,17.58,95,-2.0,367.0,[367.0]
170,1,27,3,WN,3340,SJC,6.92,60,1.0,476.0,[476.0]
