,Proline,Total phenols,Hue,Nonflavanoid phenols
0,1065,2.8,1.04,0.28
1,1050,2.65,1.05,0.26
2,1185,2.8,1.03,0.3
3,1480,3.85,0.86,0.24
4,735,2.8,1.04,0.39
5,1450,3.27,1.05,0.34
6,1290,2.5,1.02,0.3
7,1295,2.6,1.06,0.31
8,1045,2.8,1.08,0.29
9,1045,2.98,1.01,0.22
10,1510,2.95,1.25,0.22
11,1280,2.2,1.17,0.26
12,1320,2.6,1.15,0.29
13,1150,3.1,1.25,0.43
14,1547,3.3,1.2,0.29
15,1310,2.85,1.28,0.3
16,1280,2.8,1.07,0.33
17,1130,2.95,1.13,0.4
18,1680,3.3,1.23,0.32
19,845,2.7,0.96,0.17
20,780,3.0,1.09,0.24
21,770,2.41,1.03,0.25
22,1035,2.61,1.11,0.27
23,1015,2.48,1.09,0.26
24,845,2.53,1.12,0.28
25,830,2.63,1.13,0.47
26,1195,2.85,0.92,0.34
27,1285,2.4,1.02,0.27
28,915,2.95,1.25,0.37
29,1035,2.65,1.04,0.26
30,1285,3.0,1.19,0.29
31,1515,2.86,1.09,0.22
32,990,2.42,1.23,0.42
33,1235,2.95,1.25,0.5
34,1095,2.35,1.1,0.29
35,920,2.7,1.04,0.26
36,880,2.6,1.09,0.34
37,1105,2.45,1.12,0.29
38,1020,2.4,1.18,0.28
39,760,3.0,0.89,0.2
40,795,3.15,0.95,0.34
41,1035,2.45,0.91,0.27
42,1095,3.25,0.88,0.17
43,680,2.64,0.82,0.32
44,885,3.0,0.88,0.28
45,1080,2.85,0.87,0.3
46,1065,3.25,1.04,0.27
47,985,3.1,0.91,0.21
48,1060,2.75,1.07,0.32
49,1260,2.88,1.12,0.32
50,1150,2.72,1.12,0.17
51,1265,2.45,1.24,0.22
52,1190,3.88,1.01,0.32
53,1375,3.0,1.13,0.39
54,1060,2.6,0.92,0.21
55,1120,2.96,0.98,0.2
56,970,3.2,0.94,0.26
57,1270,3.0,1.07,0.31
58,1285,3.4,0.89,0.19
59,520,1.98,1.05,0.28
60,680,2.05,1.25,0.63
61,450,2.02,0.98,0.53
62,630,2.1,1.23,0.32
63,420,3.5,1.22,0.19
64,355,1.89,1.45,0.45
65,678,2.42,1.19,0.37
66,502,2.98,1.12,0.26
67,510,2.11,1.12,0.27
68,750,2.53,1.02,0.55
69,718,1.85,1.28,0.14
70,870,1.1,0.9059999999999999,0.37
71,410,2.95,1.36,0.21
72,472,1.88,0.98,0.27
73,985,3.3,1.31,0.21
74,886,3.38,0.99,0.13
75,428,1.61,1.23,0.34
76,392,1.95,1.19,0.24
