,Accessible,Difficulty,Length,Limited_Access,Location,Name,Other_Details,Park_Name,Prop_ID,lat,lon
0,Y,,0.8 miles,N,"Enter behind the Salt Marsh Nature Center, located near the intersection of East 33rd Street and Avenue U.",Salt Marsh Nature Trail,"<p>The first half of this mile-long trail follows the shore of Gerritsen Beach, which empties into Jamaica Bay. The trail&rsquo;s second leg winds through a prairie of tall grass, where you can sometimes spot cottontail rabbits and ring-necked pheasants. Check out our <a href=""/park-features/hiking/marine-park"">Marine Park Trails</a> page for a map and directions to scenic locations, and comfort stations and maps are also available inside the Salt Marsh Nature Center.</p>",Marine Park,B057,,
1,N,Easy,1.0 mile,N,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Lullwater,"Explore the Lullwater to see how nature thrives in the heart of Brooklyn.  The Lullwater is a great place to see birds and other wildlife.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",Prospect Park,B073,,
2,N,Easy,0.75 miles,N,Enter Park at Lincoln Road and Ocean Avenue entrance. Trails begin or are near the Prospect Park Audubon Center.,Midwood,"Step back in time with a walk through Brooklyn&rsquo;s oldest remaining forest. The Midwood, home to some of Prospect Park&rsquo;s largest trees, is a relic of Brooklyn&rsquo;s history, and was preserved and incorporated into the park during its original construction. The thirty-minute hike loops from Prospect Park&rsquo;s Audubon Center through a forest filled with birds and other animals.",Prospect Park,B073,,
3,N,Easy,0.5 miles,N,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Peninsula,"Discover how the Peninsula has changed over the last 300 years.  The Peninsula's restored landscapes provide scenic views, a home for Park wildlife, and great fishing.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",Prospect Park,B073,,
4,N,Easy,0.5 miles,N,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,Waterfall,"Trace the source of the Lake on the Waterfall trail.  The Fallkill Falls is the first of six waterfalls that you will see along the Park's watercourse.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center.",Prospect Park,B073,,
5,N,Various,Various,N,"Park-wide. Check out our <a href=""/park-features/hiking/alley-pond"">Alley Pond Park Trails</a> page for a map and directions to scenic locations.",Alley Pond Trails,Numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  The north end of the park boasts splendid salt marsh views.,Alley Pond Park,Q001,,
6,N,,1.7 miles,N,"Forest Park Drive East, off of Woodhaven Boulevard",Blue Trail,Forest Park's numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  ,Forest Park,Q015,,
7,N,,2.4 miles,N,Memorial Drive and Forest Park Drive East,Orange Trail,This trail will lead you through a 2.4 mile adventurous hike along the perimeter of the forest,Forest Park,Q015,,
8,N,,1.0 mile,N,Metropolitan Avenue & Forest Park Drive East,Yellow Trail,,Forest Park,Q015,,
9,N,,3.0 miles,N,Francis Lewis Boulevard and Union Turnpike,South Preserve Trail,"Numerous unnamed trails wind through native hardwood (oak-hickory) forest, which features a diverse ecosystem to support abundant wildlife. The parks&rsquo; Kettle Ponds feature the sounds of Spring Peepers and other species of frogs throughout the spring and summer season.",Cunningham Park,Q021,,
10,N,Easy/Moderate,12.3 miles,N,Brielle Avenue & Roanoake Street,Greenbelt Blue Trail (Southern Trailhead),"This is the Greenbelt&rsquo;s longest marked trail.  Its northeastern trailhead at the Greenbelt&rsquo;s Deere Park can be accessed from Staten Island Boulevard.  Walk the trail to its end, near the Brielle Avenue-Roanoake Street intersection in Willowbrook, and you will either pass through or have a view of each of the Greenbelt&rsquo;s five distinct vegetation zones.",La Tourette Parks & Golf Course,R013,,
11,N,Easy,0.85 miles,N,Rockland & Brielle avenues,Greenbelt Nature Center Trail,"This gentle walk takes you through a forest of red maple, black birch, cherry, tulip, and sassafras trees.  In the understory, there is an abundance of spicebush, which produces bright red berries in the fall.  The trail connects to the blue trail and the white trail.",La Tourette Parks & Golf Course,R013,,
12,N,Easy/Moderate,4.0 miles,N,Richmond Road and St. Patrick's Place,Greenbelt Red Trail,"This loop trail is in the heart of the Greenbelt, which is also home to six other picturesque hiking trails on which urban explorers can discover Staten Island&rsquo;s vast preserves of natural spaces. The red trail crosses over Buck&rsquo;s Hollow, Heyerdahl Hill, the northern edge of LaTourette golf course and the neighborhood of Lighthouse Hill. Want to make a full day of it&Alpha; A pathway leads from the trail downhill to Historic Richmond Town, where you can walk through a preserved 18th century village.",La Tourette Parks & Golf Course,R013,,
13,N,Easy/Moderate,7.6 miles,N,Rockland Avenue near Brielle Avenue (mid-way trailhead) or Richmond Road near Reidel Avenue,Greenbelt White Trail (Southern),Connects to Great Kills Park of the Gateway National Park System Service.,La Tourette Parks & Golf Course,R013,,
14,N,Moderate/Difficult,8.0 miles,N,Richmond Avenue & Forest Hill Road,Greenbelt Yellow Trail (Southwest Trailhead),Traverses the entire Greenbelt from its Northeast corner in the community of Todt Hill to its Southwest corner in  New Springville; access Moses' Mountain at Rockland Avenue and Manor Road behind bus stop.,La Tourette Parks & Golf Course,R013,,
15,N,Easy,0.5 miles,N,Mulberry Avenue off Travis Avenue (limited parking),William T. Davis Wildlife Refuge Pink Trail,Excellent birdwatching location; abounds with water-loving trees such as sweet gum and ash.,William T. Davis Wildlife Refuge,R017,,
16,N,Easy/Moderate,7.6 miles,N,Willowbrook Park off Victory Boulevard,Willowbrook Park White Trail,Connects to Great Kills Park of the Gateway National Park System Service.,Willowbrook Park,R030,,
17,N,Moderate,0.75 miles,N,200 feet ahead of parking lot at the terminus of Nevada Avenue,Gretta Moulton Trail/Green Trail,"The trail head of this circular trail is off the High Rock Park access road near the Nevada Avenue entrance.  The hike takes you along kettle ponds and knobs, formations characteristic of terminal moraine topography.  The upland forest includes a patch of persimmon trees.  The trail is also known as the Gretta Moulton Trail in honor of an ardent Greenbelt supporter.  Bathrooms nearby.",High Rock Park,R088,,
18,N,Easy,0.25 miles,N,200 feet ahead of parking lot at the terminus of Nevada Avenue,High Rock Park Lavender Trail,"Jewelweed, skunk cabbage, and various grasses and water plants can be seen, along with black water snakes, snapping turtles, and spring peepers.  Bathrooms nearby.",High Rock Park,R088,,
19,N,Easy/Moderate,12.3 miles,N,Staten Island Boulevard,Deere Park Blue Trail,"This is the Greenbelt&rsquo;s longest marked trail.  Its northeastern trailhead at the Greenbelt&rsquo;s Deere Park can be accessed from Staten Island Boulevard.  Walk the trail to its end, near the Brielle Avenue-Roanoake Street intersection in Willowbrook, and you will either pass through or have a view of each of the Greenbelt&rsquo;s five distinct vegetation zones.",Deere Park,R115,,
20,N,Moderate/Difficult,1.4 miles,N,"A short walk in from the intersection of Broadway and Mosholu Avenue, near the horse stables",Cass Gallagher Nature Trail,,Van Cortlandt Park,X092,,
