,Flavanoids,Total phenols,Malic acid,OD280/OD315 of diluted wines,Hue
0,3.06,2.8,1.71,3.92,1.04
1,2.76,2.65,1.78,3.4,1.05
2,3.24,2.8,2.36,3.17,1.03
3,3.49,3.85,1.95,3.45,0.86
4,2.69,2.8,2.59,2.93,1.04
5,3.39,3.27,1.76,2.85,1.05
6,2.52,2.5,1.87,3.58,1.02
7,2.51,2.6,2.15,3.58,1.06
8,2.98,2.8,1.64,2.85,1.08
9,3.15,2.98,1.35,3.55,1.01
10,3.32,2.95,2.16,3.17,1.25
11,2.43,2.2,1.48,2.82,1.17
12,2.76,2.6,1.73,2.9,1.15
13,3.69,3.1,1.73,2.73,1.25
14,3.64,3.3,1.87,3.0,1.2
15,2.91,2.85,1.81,2.88,1.28
16,3.14,2.8,1.92,2.65,1.07
17,3.4,2.95,1.57,2.57,1.13
18,3.93,3.3,1.59,2.82,1.23
19,3.03,2.7,3.1,3.36,0.96
20,3.17,3.0,1.63,3.71,1.09
21,2.41,2.41,3.8,3.52,1.03
22,2.88,2.61,1.86,4.0,1.11
23,2.37,2.48,1.6,3.63,1.09
24,2.61,2.53,1.81,3.82,1.12
25,2.68,2.63,2.05,3.2,1.13
26,2.94,2.85,1.77,3.22,0.92
27,2.19,2.4,1.72,2.77,1.02
28,2.97,2.95,1.9,3.4,1.25
29,2.33,2.65,1.68,3.59,1.04
30,3.25,3.0,1.5,2.71,1.19
31,3.19,2.86,1.66,2.88,1.09
32,2.69,2.42,1.83,2.87,1.23
33,2.74,2.95,1.53,3.0,1.25
34,2.53,2.35,1.8,2.87,1.1
35,2.98,2.7,1.81,3.47,1.04
36,2.68,2.6,1.64,2.78,1.09
37,2.43,2.45,1.65,2.51,1.12
38,2.64,2.4,1.5,2.69,1.18
39,3.04,3.0,3.99,3.53,0.89
40,3.29,3.15,1.71,3.38,0.95
41,2.68,2.45,3.84,3.0,0.91
42,3.56,3.25,1.89,3.56,0.88
43,2.63,2.64,3.98,3.0,0.82
44,3.0,3.0,1.77,3.35,0.88
45,2.65,2.85,4.04,3.33,0.87
46,3.17,3.25,3.59,3.44,1.04
47,3.39,3.1,1.68,3.33,0.91
48,2.92,2.75,2.02,2.75,1.07
49,3.54,2.88,1.73,3.1,1.12
50,3.27,2.72,1.73,2.91,1.12
51,2.99,2.45,1.65,3.37,1.24
52,3.74,3.88,1.75,3.26,1.01
53,2.79,3.0,1.9,2.93,1.13
54,2.9,2.6,1.67,3.2,0.92
55,2.78,2.96,1.73,3.03,0.98
56,3.0,3.2,1.7,3.31,0.94
57,3.23,3.0,1.97,2.84,1.07
58,3.67,3.4,1.43,2.87,0.89
59,0.57,1.98,0.94,1.82,1.05
60,1.09,2.05,1.1,1.67,1.25
61,1.41,2.02,1.36,1.59,0.98
62,1.79,2.1,1.25,2.46,1.23
63,3.1,3.5,1.13,2.87,1.22
64,1.75,1.89,1.45,2.23,1.45
65,2.65,2.42,1.21,2.3,1.19
66,3.18,2.98,1.01,3.18,1.12
67,2.0,2.11,1.17,3.48,1.12
68,1.3,2.53,0.94,1.93,1.02
69,1.28,1.85,1.19,3.07,1.28
70,1.02,1.1,1.61,1.82,0.9059999999999999
71,2.86,2.95,1.51,3.16,1.36
72,1.84,1.88,1.66,2.78,0.98
73,2.89,3.3,1.67,3.5,1.31
74,2.14,3.38,1.09,3.13,0.99
75,1.57,1.61,1.88,2.14,1.23
76,2.03,1.95,0.9,2.48,1.19
77,1.32,1.72,2.89,2.52,0.96
78,1.85,1.9,0.99,2.31,1.06
79,2.55,2.83,3.87,3.13,1.19
80,2.26,2.42,0.92,3.12,1.38
81,2.53,2.2,1.81,3.14,1.16
82,1.58,2.0,1.13,2.72,1.31
83,1.59,1.65,3.86,2.01,0.84
84,2.21,2.2,0.89,3.08,0.79
85,1.94,2.2,0.98,3.16,1.23
86,1.69,1.78,1.61,2.26,1.33
87,1.61,1.92,1.67,3.21,1.36
88,1.69,1.95,2.06,2.75,1.0
89,1.59,2.2,1.33,3.21,1.07
90,1.5,1.6,1.83,2.27,1.08
91,1.25,1.45,1.51,2.65,1.05
92,1.46,1.38,1.53,2.06,0.96
93,2.25,2.45,2.83,3.3,1.15
94,2.26,3.02,1.99,2.96,1.16
95,2.27,2.5,1.52,2.63,1.16
96,0.99,1.6,2.12,2.26,0.95
97,2.5,2.55,1.41,2.74,1.23
98,3.75,3.52,1.07,2.77,1.04
99,2.99,2.85,3.17,2.83,1.42
100,2.17,2.23,2.08,2.96,1.27
101,1.36,1.45,1.34,2.77,1.04
102,2.11,2.56,2.45,3.38,0.8
103,1.64,2.5,1.72,2.44,0.94
104,1.92,2.2,1.73,3.57,1.04
105,1.84,1.68,2.55,3.3,0.86
106,2.03,1.65,1.73,3.17,1.0
107,1.76,1.38,1.75,2.42,0.88
108,2.04,2.36,1.29,3.02,0.86
109,2.92,2.74,1.35,3.26,0.96
110,2.58,3.18,3.74,2.81,0.75
111,2.27,2.55,2.43,2.78,0.9
112,2.03,1.75,2.68,2.5,1.23
113,2.01,2.48,0.74,2.31,1.1
114,2.29,2.56,1.39,3.19,0.93
115,2.17,2.46,1.51,2.87,1.71
116,1.6,1.98,1.47,3.33,0.95
117,2.09,2.0,1.61,2.96,1.06
118,1.25,1.63,3.43,2.12,0.7
119,1.64,2.0,3.43,3.05,0.93
120,2.79,2.9,2.4,3.39,0.8
121,5.08,3.18,2.05,3.69,0.93
122,2.13,2.2,4.43,3.12,0.92
123,2.65,2.62,5.8,3.1,0.73
124,3.03,2.86,4.31,3.64,0.75
125,2.65,2.6,2.16,3.28,0.86
126,3.15,2.74,1.53,2.84,0.69
127,2.24,2.13,2.13,2.44,0.97
128,2.45,2.22,1.63,2.78,0.89
129,1.75,2.1,4.3,2.57,0.79
130,1.25,1.51,1.35,1.29,0.76
131,1.22,1.3,2.99,1.42,0.74
132,1.09,1.15,2.31,1.36,0.66
133,1.2,1.7,3.55,1.29,0.78
134,0.58,2.0,1.24,1.51,0.75
135,0.66,1.62,2.46,1.58,0.73
136,0.47,1.38,4.72,1.27,0.75
137,0.6,1.79,5.51,1.69,0.82
138,0.48,1.62,3.59,1.82,0.81
139,0.6,2.32,2.96,2.15,0.89
140,0.5,1.54,2.81,2.31,0.77
141,0.5,1.4,2.56,2.47,0.7
142,0.52,1.55,3.17,2.06,0.89
143,0.8,2.0,4.95,2.05,0.91
144,0.78,1.38,3.88,2.0,0.65
145,0.55,1.5,3.57,1.68,0.6
146,0.34,0.98,5.04,1.33,0.58
147,0.65,1.7,4.61,1.86,0.54
148,0.76,1.93,3.24,1.62,0.55
149,1.39,1.41,3.9,1.33,0.57
150,1.57,1.4,3.12,1.3,0.59
151,1.36,1.48,2.67,1.47,0.48
152,1.28,2.2,1.9,1.33,0.61
153,0.83,1.8,3.3,1.51,0.56
154,0.58,1.48,1.29,1.55,0.58
155,0.63,1.74,5.19,1.48,0.6
156,0.83,1.8,4.12,1.64,0.57
157,0.58,1.9,3.03,1.73,0.67
158,1.31,2.8,1.68,1.96,0.57
159,1.1,2.6,1.67,1.78,0.57
160,0.92,2.3,3.83,1.58,0.56
161,0.56,1.83,3.26,1.82,0.96
162,0.6,1.65,3.27,2.11,0.87
163,0.7,1.39,3.45,1.75,0.68
164,0.68,1.35,2.76,1.68,0.7
165,0.47,1.28,4.36,1.75,0.78
166,0.92,1.7,3.7,1.56,0.85
167,0.66,1.48,3.37,1.75,0.72
168,0.84,1.55,2.58,1.8,0.74
169,0.96,1.98,4.6,1.92,0.67
170,0.49,1.25,3.03,1.83,0.66
