,category_desc,title
1,Strengthening Communities,Web designer
2,Strengthening Communities,Urban Adventures - Ice Skating at Lasker Rink
3,Strengthening Communities,Fight global hunger and support women farmers - Join the Oxfam Action Corps in NYC!
4,Environment,Stop 'N' Swap
5,Environment,Queens Stop 'N' Swap
6,Strengthening Communities,Staff Development Trainer
7,Helping Neighbors in Need,CLARO Brooklyn Volunteer Attorney
9,Health,Volunteer-Community Health Advocates
10,Strengthening Communities,Supervise children in Highland Park Children's Garden
11,Education,WorldofMoney.org's Youth Amazing Race
12,Strengthening Communities,Qualified Board Member Seats Available
13,Education,Young Adult Tutor (Updated 3/30/11)
14,Helping Neighbors in Need,Health Insurance Claims Manager
15,Strengthening Communities,Health Insurance Claims Manager
16,Helping Neighbors in Need,TimeBanksNYC: THE GREAT EXCHANGE 
17,Strengthening Communities,Community Clean Up at Asbury Cementary in Staten Island 
18,Helping Neighbors in Need,Senior Citizen Friendly Visitor 
19,Strengthening Communities,Shop Volunteer
20,Environment,Tree Care Workshop - Queens 3/20
21,Environment,Tree Care Workshop - Queens 4/9
22,Health,Movie screener for Seniors
23,Health,Volunteer at Queens Farm
24,Strengthening Communities,Graphic Designer 
27,Health,Volunteer Open House
29,Environment,Get the tools to volunteer for Recycling!
30,Strengthening Communities,Volunteers Needed for Family Event
31,Strengthening Communities,Clerical Volunteer Support
32,Strengthening Communities,Volunteers for a Children's Cancer Walk!
33,Health,BeFitNYC Physical Activity Organizers
34,Strengthening Communities,Decision Day 2011 Needs Your Help!!
35,Environment,Get the tools to volunteer for Recycling!
36,Helping Neighbors in Need,Gain Valuable Counseling Experience--Volunteer on Samaritans 24-Hour Crisis Hotline
37,Strengthening Communities,Heart Gallery NYC Needs Your Help at our Info Table- Finding Homes for Kids!
38,Helping Neighbors in Need,Yiddish Speaking Homework Helper Needed
39,Helping Neighbors in Need,Skilled volunteers to help Rebuilding Together home repairs
40,Environment,Help the GreenTeam at Advetures NYC!
41,Strengthening Communities,Volunteer at the Stop 'N' Swap
42,Strengthening Communities,Volunteer for Summer Streets 
43,Education,Available on Tuesday evenings? Tutor with MASA!
44,Helping Neighbors in Need,Volunteers Needed for Senior Lunch Program!
45,Environment,Get the tools to volunteer for Recycling!
46,Education,Help Us With Outreach
