,id,date,store,item,sales
0,100000,2017-11-01,1,1,16
1,100001,2017-11-02,1,1,21
2,100002,2017-11-03,1,1,18
3,100003,2017-11-04,1,1,34
4,100004,2017-11-05,1,1,23
5,100005,2017-11-06,1,1,17
6,100006,2017-11-07,1,1,23
7,100007,2017-11-08,1,1,14
8,100008,2017-11-09,1,1,21
9,100009,2017-11-10,1,1,19
10,100010,2017-11-11,1,1,24
11,100011,2017-11-12,1,1,27
12,100012,2017-11-13,1,1,22
13,100013,2017-11-14,1,1,16
14,100014,2017-11-15,1,1,19
15,100015,2017-11-16,1,1,22
16,100016,2017-11-17,1,1,25
17,100017,2017-11-18,1,1,31
18,100018,2017-11-19,1,1,32
19,100019,2017-11-20,1,1,21
20,100020,2017-11-21,1,1,29
21,100021,2017-11-22,1,1,27
22,100022,2017-11-23,1,1,25
23,100023,2017-11-24,1,1,22
24,100024,2017-11-25,1,1,29
25,100025,2017-11-26,1,1,24
26,100026,2017-11-27,1,1,10
27,100027,2017-11-28,1,1,14
28,100028,2017-11-29,1,1,28
29,100029,2017-11-30,1,1,15
30,100030,2017-11-01,2,1,35
31,100031,2017-11-02,2,1,35
32,100032,2017-11-03,2,1,33
33,100033,2017-11-04,2,1,46
34,100034,2017-11-05,2,1,38
35,100035,2017-11-06,2,1,28
36,100036,2017-11-07,2,1,28
37,100037,2017-11-08,2,1,29
38,100038,2017-11-09,2,1,28
39,100039,2017-11-10,2,1,32
40,100040,2017-11-11,2,1,38
41,100041,2017-11-12,2,1,33
42,100042,2017-11-13,2,1,21
43,100043,2017-11-14,2,1,32
44,100044,2017-11-15,2,1,19
45,100045,2017-11-16,2,1,28
46,100046,2017-11-17,2,1,34
47,100047,2017-11-18,2,1,45
48,100048,2017-11-19,2,1,45
49,100049,2017-11-20,2,1,27
50,100050,2017-11-21,2,1,41
51,100051,2017-11-22,2,1,33
52,100052,2017-11-23,2,1,41
53,100053,2017-11-24,2,1,38
54,100054,2017-11-25,2,1,26
55,100055,2017-11-26,2,1,44
56,100056,2017-11-27,2,1,29
57,100057,2017-11-28,2,1,36
58,100058,2017-11-29,2,1,24
59,100059,2017-11-30,2,1,31
60,100060,2017-11-01,3,1,24
61,100061,2017-11-02,3,1,29
62,100062,2017-11-03,3,1,32
63,100063,2017-11-04,3,1,41
64,100064,2017-11-05,3,1,32
65,100065,2017-11-06,3,1,22
66,100066,2017-11-07,3,1,27
67,100067,2017-11-08,3,1,31
68,100068,2017-11-09,3,1,33
69,100069,2017-11-10,3,1,23
