,Id,LotArea,OverallQual,YearBuilt,RoofStyle,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
0,1,8450,7,2003,Gable,856,Y,856,854,2,1,3,1,8,2,548,208500
1,2,9600,6,1976,Gable,1262,Y,1262,0,2,0,3,1,6,2,460,181500
2,3,11250,7,2001,Gable,920,Y,920,866,2,1,3,1,6,2,608,223500
3,4,9550,7,1915,Gable,756,Y,961,756,1,0,3,1,7,3,642,140000
4,5,14260,8,2000,Gable,1145,Y,1145,1053,2,1,4,1,9,3,836,250000
5,6,14115,5,1993,Gable,796,Y,796,566,1,1,1,1,5,2,480,143000
6,7,10084,8,2004,Gable,1686,Y,1694,0,2,0,3,1,7,2,636,307000
7,8,10382,7,1973,Gable,1107,Y,1107,983,2,1,3,1,7,2,484,200000
8,9,6120,7,1931,Gable,952,Y,1022,752,2,0,2,2,8,2,468,129900
9,10,7420,5,1939,Gable,991,Y,1077,0,1,0,2,2,5,1,205,118000
10,11,11200,5,1965,Hip,1040,Y,1040,0,1,0,3,1,5,1,384,129500
11,12,11924,9,2005,Hip,1175,Y,1182,1142,3,0,4,1,11,3,736,345000
12,13,12968,5,1962,Hip,912,Y,912,0,1,0,2,1,4,1,352,144000
13,14,10652,7,2006,Gable,1494,Y,1494,0,2,0,3,1,7,3,840,279500
14,15,10920,6,1960,Hip,1253,Y,1253,0,1,1,2,1,5,1,352,157000
15,16,6120,7,1929,Gable,832,Y,854,0,1,0,2,1,5,2,576,132000
16,17,11241,6,1970,Gable,1004,Y,1004,0,1,0,2,1,5,2,480,149000
17,18,10791,4,1967,Gable,0,Y,1296,0,2,0,2,2,6,2,516,90000
18,19,13695,5,2004,Gable,1114,Y,1114,0,1,1,3,1,6,2,576,159000
19,20,7560,5,1958,Hip,1029,Y,1339,0,1,0,3,1,6,1,294,139000
20,21,14215,8,2005,Gable,1158,Y,1158,1218,3,1,4,1,9,3,853,325300
21,22,7449,7,1930,Gable,637,Y,1108,0,1,0,3,1,6,1,280,139400
22,23,9742,8,2002,Hip,1777,Y,1795,0,2,0,3,1,7,2,534,230000
23,24,4224,5,1976,Gable,1040,Y,1060,0,1,0,3,1,6,2,572,129900
24,25,8246,5,1968,Gable,1060,Y,1060,0,1,0,3,1,6,1,270,154000
25,26,14230,8,2007,Gable,1566,Y,1600,0,2,0,3,1,7,3,890,256300
26,27,7200,5,1951,Gable,900,Y,900,0,1,0,3,1,5,2,576,134800
27,28,11478,8,2007,Gable,1704,Y,1704,0,2,0,3,1,7,3,772,306000
28,29,16321,5,1957,Gable,1484,Y,1600,0,1,0,2,1,6,1,319,207500
29,30,6324,4,1927,Gable,520,N,520,0,1,0,1,1,4,1,240,68500
30,31,8500,4,1920,Gambrel,649,N,649,668,1,0,3,1,6,1,250,40000
31,32,8544,5,1966,Gable,1228,Y,1228,0,1,1,3,1,6,1,271,149350
32,33,11049,8,2007,Gable,1234,Y,1234,0,2,0,3,1,7,2,484,179900
33,34,10552,5,1959,Hip,1398,Y,1700,0,1,1,4,1,6,2,447,165500
34,35,7313,9,2005,Hip,1561,Y,1561,0,2,0,2,1,6,2,556,277500
35,36,13418,8,2004,Gable,1117,Y,1132,1320,3,1,4,1,9,3,691,309000
36,37,10859,5,1994,Gable,1097,Y,1097,0,1,1,3,1,6,2,672,145000
37,38,8532,5,1954,Hip,1297,Y,1297,0,1,0,3,1,5,2,498,153000
38,39,7922,5,1953,Gable,1057,Y,1057,0,1,0,3,1,5,1,246,109000
39,40,6040,4,1955,Gable,0,N,1152,0,2,0,2,2,6,0,0,82000
40,41,8658,6,1965,Gable,1088,Y,1324,0,2,0,3,1,6,2,440,160000
41,42,16905,5,1959,Gable,1350,Y,1328,0,1,1,2,1,5,1,308,170000
42,43,9180,5,1983,Gable,840,Y,884,0,1,0,2,1,5,2,504,144000
43,44,9200,5,1975,Hip,938,Y,938,0,1,0,3,1,5,1,308,130250
44,45,7945,5,1959,Gable,1150,Y,1150,0,1,0,3,1,6,1,300,141000
45,46,7658,9,2005,Hip,1752,Y,1752,0,2,0,2,1,6,2,576,319900
46,47,12822,7,2003,Gable,1434,Y,1518,631,1,1,1,1,6,2,670,239686
47,48,11096,8,2006,Gable,1656,Y,1656,0,2,0,3,1,7,3,826,249700
48,49,4456,4,1920,Gable,736,Y,736,716,2,0,2,3,8,0,0,113000
49,50,7742,5,1966,Gable,955,Y,955,0,1,0,3,1,6,1,386,127000
50,51,13869,6,1997,Gable,794,Y,794,676,2,0,3,1,6,2,388,177000
51,52,6240,6,1934,Gable,816,Y,816,0,1,0,3,1,6,2,528,114500
52,53,8472,5,1963,Gable,816,N,816,0,1,0,2,1,5,2,516,110000
53,54,50271,9,1981,Gable,1842,Y,1842,0,0,1,0,1,5,3,894,385000
54,55,7134,5,1955,Gable,384,Y,1360,0,1,0,3,1,6,2,572,130000
55,56,10175,6,1964,Gable,1425,Y,1425,0,2,0,3,1,7,2,576,180500
56,57,2645,8,1999,Gable,970,Y,983,756,2,1,3,1,7,2,480,172500
57,58,11645,7,2004,Gable,860,Y,860,860,2,1,3,1,7,2,565,196500
58,59,13682,10,2006,Hip,1410,Y,1426,1519,3,1,3,1,10,3,641,438780
59,60,7200,5,1972,Gable,780,Y,780,0,1,0,2,1,4,1,352,124900
60,61,13072,6,2004,Gable,1158,Y,1158,0,1,1,3,1,5,2,576,158000
61,62,7200,5,1920,Gable,530,N,581,530,1,0,3,1,6,1,288,101000
62,63,6442,8,2006,Gable,1370,Y,1370,0,2,0,2,1,6,2,484,202500
