,id,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour
0,0,4.5,2009-06-15 17:26:21,-73.844311,40.721319,-73.84161,40.71227800000001,1,17
1,1,16.9,2010-01-05 16:52:16,-74.016048,40.711303,-73.979268,40.782004,1,16
2,2,5.7,2011-08-18 00:35:00,-73.982738,40.76127,-73.991242,40.750562,2,0
3,3,7.7,2012-04-21 04:30:42,-73.98713000000002,40.733143,-73.991567,40.758092,1,4
4,4,5.3,2010-03-09 07:51:00,-73.96809499999998,40.768008,-73.956655,40.783762,1,7
5,5,12.1,2011-01-06 09:50:45,-74.000964,40.73163,-73.972892,40.758233,1,9
6,6,7.5,2012-11-20 20:35:00,-73.980002,40.751662,-73.973802,40.764842,1,20
7,7,16.5,2012-01-04 17:22:00,-73.9513,40.774138,-73.990095,40.751048,1,17
8,8,9.0,2012-12-03 13:10:00,-74.006462,40.726713,-73.993078,40.731628,1,13
9,9,8.9,2009-09-02 01:11:00,-73.98065799999998,40.733873,-73.99154,40.758138,2,1
10,10,5.3,2012-04-08 07:30:50,-73.996335,40.737142,-73.980721,40.733559,1,7
11,11,5.5,2012-12-24 11:24:00,0.0,0.0,0.0,0.0,3,11
12,12,4.1,2009-11-06 01:04:03,-73.991601,40.744712,-73.983081,40.744682,2,1
13,13,7.0,2013-07-02 19:54:00,-74.00536,40.728867,-74.008913,40.710907,1,19
14,14,7.7,2011-04-05 17:11:05,-74.00182099999998,40.737547,-73.99806,40.722788,2,17
15,15,5.0,2013-11-23 12:57:00,0.0,0.0,0.0,0.0,1,12
16,16,12.5,2014-02-19 07:22:00,-73.98643,40.760465,-73.98899,40.737075,1,7
17,17,5.3,2009-07-22 16:08:00,-73.98106,40.73769,-73.99417700000002,40.728412,1,16
18,18,5.3,2010-07-07 14:52:00,-73.969505,40.784843,-73.958732,40.783357,1,14
19,19,4.0,2014-12-06 20:36:22,-73.979815,40.751902,-73.979446,40.755481,1,20
20,20,10.5,2010-09-07 13:18:00,-73.985382,40.747858,-73.97837700000002,40.76207,1,13
21,21,11.5,2013-02-12 12:15:46,-73.957954,40.779252,-73.96125,40.758787,1,12
22,22,4.5,2009-08-06 18:17:23,-73.99170699999998,40.770505,-73.98545899999998,40.763671,1,18
23,23,4.9,2010-12-06 12:29:00,-74.000632,40.747473,-73.986672,40.740577,1,12
24,24,6.1,2009-12-10 15:37:00,-73.969622,40.756973,-73.98115200000002,40.759712,1,15
25,25,7.3,2011-06-21 16:15:00,-73.991875,40.754437,-73.97723,40.774323,3,16
26,26,6.5,2011-02-07 20:01:00,0.0,0.0,0.0,0.0,1,20
27,27,4.5,2011-06-28 19:47:00,-73.988893,40.76016,-73.98644499999997,40.757857,3,19
28,28,9.3,2012-05-04 06:11:20,-73.98925799999998,40.690835,-74.004133,40.72569,1,6
29,29,4.5,2013-08-11 00:52:00,-73.98102,40.73776,-73.98066800000002,40.730497,2,0
30,30,5.5,2014-02-19 16:03:00,-73.976075,40.752422,-73.981082,40.759285,1,16
31,31,22.54,2015-06-21 21:46:34,-74.01048278808595,40.71766662597656,-73.98577117919923,40.66036605834961,1,21
