,R1,R2,R3,R4,R5,Class,Explanation
0,10,11,13,12,1,9,Royal flush
1,11,13,10,12,1,9,Royal flush
2,12,11,13,10,1,9,Royal flush
3,10,11,1,13,12,9,Royal flush
4,1,13,12,11,10,9,Royal flush
5,2,4,5,3,6,8,Straight flush
6,9,12,10,11,13,8,Straight flush
7,1,2,3,4,5,8,Straight flush
8,5,6,9,7,8,8,Straight flush
9,1,4,2,3,5,8,Straight flush
10,1,1,9,5,3,1,One pair
11,6,1,13,4,9,0,Nothing in hand
12,10,6,2,1,8,0,Nothing in hand
13,13,1,4,5,11,0,Nothing in hand
14,8,12,9,2,2,1,One pair
15,3,7,5,4,13,0,Nothing in hand
16,4,1,3,5,2,4,Straight
17,8,12,7,6,2,0,Nothing in hand
18,8,11,6,2,12,0,Nothing in hand
19,7,7,11,12,1,1,One pair
20,13,8,7,10,13,1,One pair
21,6,8,11,4,7,0,Nothing in hand
22,10,10,5,2,8,1,One pair
23,1,13,6,9,1,1,One pair
24,10,8,8,2,13,1,One pair
25,13,5,5,8,3,1,One pair
26,1,5,7,13,1,1,One pair
27,7,5,8,6,6,1,One pair
28,7,9,12,5,4,0,Nothing in hand
29,10,1,12,6,8,0,Nothing in hand
30,13,7,11,11,11,3,Three of a kind
31,2,7,13,11,10,0,Nothing in hand
32,11,7,6,2,1,0,Nothing in hand
33,4,3,5,12,9,0,Nothing in hand
34,2,6,11,3,10,0,Nothing in hand
35,8,3,13,12,1,0,Nothing in hand
36,6,8,3,2,2,1,One pair
37,13,6,8,3,3,1,One pair
38,9,10,11,7,3,0,Nothing in hand
39,10,12,2,2,13,1,One pair
40,5,12,3,2,3,1,One pair
41,8,2,5,12,8,1,One pair
42,1,7,6,5,5,1,One pair
43,13,1,7,3,6,0,Nothing in hand
44,10,13,5,8,10,1,One pair
45,2,11,9,7,5,0,Nothing in hand
46,2,1,11,6,4,0,Nothing in hand
47,10,1,4,12,9,0,Nothing in hand
48,9,13,1,9,12,1,One pair
49,1,1,3,4,11,1,One pair
50,5,4,13,7,10,0,Nothing in hand
51,10,7,3,6,8,0,Nothing in hand
52,2,4,7,9,1,0,Nothing in hand
53,8,9,4,11,3,0,Nothing in hand
54,7,13,3,4,1,0,Nothing in hand
55,12,3,7,5,1,0,Nothing in hand
56,5,13,12,7,13,1,One pair
57,8,2,8,9,11,1,One pair
58,8,12,9,6,2,0,Nothing in hand
59,5,13,13,7,5,2,Two pairs
60,7,10,1,3,5,0,Nothing in hand
61,13,2,10,3,13,1,One pair
62,5,7,3,6,8,0,Nothing in hand
63,2,3,8,11,13,0,Nothing in hand
64,1,4,1,11,7,1,One pair
65,4,1,12,3,13,0,Nothing in hand
66,9,1,7,4,2,0,Nothing in hand
67,3,1,6,5,10,0,Nothing in hand
68,9,2,3,6,9,1,One pair
69,1,5,8,10,5,1,One pair
70,7,5,9,8,5,1,One pair
71,13,11,4,5,1,0,Nothing in hand
72,13,8,1,6,13,1,One pair
73,8,4,2,1,7,5,Flush
74,3,10,5,13,3,1,One pair
75,4,13,1,4,1,2,Two pairs
76,2,10,6,12,10,1,One pair
77,11,9,11,8,8,2,Two pairs
78,4,4,5,8,13,1,One pair
79,13,9,2,4,4,1,One pair
80,2,10,12,7,8,0,Nothing in hand
81,6,13,5,2,9,0,Nothing in hand
82,12,5,13,11,10,0,Nothing in hand
