,Team,League,Year,RS,RA,W,G,Playoffs
0,ARI,NL,2012,734,688,81,162,0
1,ARI,NL,2011,731,662,94,162,1
2,ARI,NL,2010,713,836,65,162,0
3,ARI,NL,2009,720,782,70,162,0
4,ARI,NL,2008,720,706,82,162,0
5,ARI,NL,2007,712,732,90,162,1
6,ARI,NL,2006,773,788,76,162,0
7,ARI,NL,2005,696,856,77,162,0
8,ARI,NL,2004,615,899,51,162,0
9,ARI,NL,2003,717,685,84,162,0
10,ARI,NL,2002,819,674,98,162,1
11,ARI,NL,2001,818,677,92,162,1
12,ARI,NL,2000,792,754,85,162,0
13,ARI,NL,1999,908,676,100,162,1
14,ARI,NL,1998,665,812,65,162,0
