,Team,League,Year,RS,RA,W,G,Playoffs
0,ARI,NL,2012,734,688,81,162,0
1,ATL,NL,2012,700,600,94,162,1
2,BAL,AL,2012,712,705,93,162,1
3,BOS,AL,2012,734,806,69,162,0
4,CHC,NL,2012,613,759,61,162,0
5,CHW,AL,2012,748,676,85,162,0
6,CIN,NL,2012,669,588,97,162,1
7,CLE,AL,2012,667,845,68,162,0
8,COL,NL,2012,758,890,64,162,0
9,DET,AL,2012,726,670,88,162,1
10,HOU,NL,2012,583,794,55,162,0
11,KCR,AL,2012,676,746,72,162,0
12,LAA,AL,2012,767,699,89,162,0
13,LAD,NL,2012,637,597,86,162,0
14,MIA,NL,2012,609,724,69,162,0
15,MIL,NL,2012,776,733,83,162,0
16,MIN,AL,2012,701,832,66,162,0
17,NYM,NL,2012,650,709,74,162,0
18,NYY,AL,2012,804,668,95,162,1
19,OAK,AL,2012,713,614,94,162,1
20,PHI,NL,2012,684,680,81,162,0
21,PIT,NL,2012,651,674,79,162,0
22,SDP,NL,2012,651,710,76,162,0
23,SEA,AL,2012,619,651,75,162,0
24,SFG,NL,2012,718,649,94,162,1
25,STL,NL,2012,765,648,88,162,1
26,TBR,AL,2012,697,577,90,162,0
27,TEX,AL,2012,808,707,93,162,1
28,TOR,AL,2012,716,784,73,162,0
29,WSN,NL,2012,731,594,98,162,1
30,ARI,NL,2011,731,662,94,162,1
31,ATL,NL,2011,641,605,89,162,0
32,BAL,AL,2011,708,860,69,162,0
33,BOS,AL,2011,875,737,90,162,0
34,CHC,NL,2011,654,756,71,162,0
35,CHW,AL,2011,654,706,79,162,0
36,CIN,NL,2011,735,720,79,162,0
37,CLE,AL,2011,704,760,80,162,0
38,COL,NL,2011,735,774,73,162,0
39,DET,AL,2011,787,711,95,162,1
40,FLA,NL,2011,625,702,72,162,0
41,HOU,NL,2011,615,796,56,162,0
42,KCR,AL,2011,730,762,71,162,0
43,LAA,AL,2011,667,633,86,162,0
44,LAD,NL,2011,644,612,82,161,0
45,MIL,NL,2011,721,638,96,162,1
46,MIN,AL,2011,619,804,63,162,0
47,NYM,NL,2011,718,742,77,162,0
48,NYY,AL,2011,867,657,97,162,1
49,OAK,AL,2011,645,679,74,162,0
50,PHI,NL,2011,713,529,102,162,1
51,PIT,NL,2011,610,712,72,162,0
52,SDP,NL,2011,593,611,71,162,0
53,SEA,AL,2011,556,675,67,162,0
54,SFG,NL,2011,570,578,86,162,0
55,STL,NL,2011,762,692,90,162,1
56,TBR,AL,2011,707,614,91,162,1
57,TEX,AL,2011,855,677,96,162,1
58,TOR,AL,2011,743,761,81,162,0
59,WSN,NL,2011,624,643,80,161,0
60,ARI,NL,2010,713,836,65,162,0
61,ATL,NL,2010,738,629,91,162,1
62,BAL,AL,2010,613,785,66,162,0
63,BOS,AL,2010,818,744,89,162,0
64,CHC,NL,2010,685,767,75,162,0
65,CHW,AL,2010,752,704,88,162,0
66,CIN,NL,2010,790,685,91,162,1
67,CLE,AL,2010,646,752,69,162,0
68,COL,NL,2010,770,717,83,162,0
69,DET,AL,2010,751,743,81,162,0
70,FLA,NL,2010,719,717,80,162,0
71,HOU,NL,2010,611,729,76,162,0
72,KCR,AL,2010,676,845,67,162,0
73,LAA,AL,2010,681,702,80,162,0
74,LAD,NL,2010,667,692,80,162,0
75,MIL,NL,2010,750,804,77,162,0
76,MIN,AL,2010,781,671,94,162,1
77,NYM,NL,2010,656,652,79,162,0
78,NYY,AL,2010,859,693,95,162,1
79,OAK,AL,2010,663,626,81,162,0
80,PHI,NL,2010,772,640,97,162,1
81,PIT,NL,2010,587,866,57,162,0
82,SDP,NL,2010,665,581,90,162,0
83,SEA,AL,2010,513,698,61,162,0
84,SFG,NL,2010,697,583,92,162,1
85,STL,NL,2010,736,641,86,162,0
86,TBR,AL,2010,802,649,96,162,1
87,TEX,AL,2010,787,687,90,162,1
88,TOR,AL,2010,755,728,85,162,0
89,WSN,NL,2010,655,742,69,162,0
90,ARI,NL,2009,720,782,70,162,0
91,ATL,NL,2009,735,641,86,162,0
92,BAL,AL,2009,741,876,64,162,0
93,BOS,AL,2009,872,736,95,162,1
94,CHC,NL,2009,707,672,83,161,0
95,CHW,AL,2009,724,732,79,162,0
96,CIN,NL,2009,673,723,78,162,0
97,CLE,AL,2009,773,865,65,162,0
98,COL,NL,2009,804,715,92,162,1
99,DET,AL,2009,743,745,86,163,0
100,FLA,NL,2009,772,766,87,162,0
101,HOU,NL,2009,643,770,74,162,0
102,KCR,AL,2009,686,842,65,162,0
103,LAA,AL,2009,883,761,97,162,1
104,LAD,NL,2009,780,611,95,162,1
105,MIL,NL,2009,785,818,80,162,0
106,MIN,AL,2009,817,765,87,163,1
107,NYM,NL,2009,671,757,70,162,0
108,NYY,AL,2009,915,753,103,162,1
109,OAK,AL,2009,759,761,75,162,0
110,PHI,NL,2009,820,709,93,162,1
111,PIT,NL,2009,636,768,62,161,0
112,SDP,NL,2009,638,769,75,162,0
113,SEA,AL,2009,640,692,85,162,0
114,SFG,NL,2009,657,611,88,162,0
115,STL,NL,2009,730,640,91,162,1
116,TBR,AL,2009,803,754,84,162,0
117,TEX,AL,2009,784,740,87,162,0
118,TOR,AL,2009,798,771,75,162,0
119,WSN,NL,2009,710,874,59,162,0
120,ARI,NL,2008,720,706,82,162,0
121,ATL,NL,2008,753,778,72,162,0
122,BAL,AL,2008,782,869,68,161,0
123,BOS,AL,2008,845,694,95,162,1
124,CHC,NL,2008,855,671,97,161,1
125,CHW,AL,2008,811,729,89,163,1
126,CIN,NL,2008,704,800,74,162,0
127,CLE,AL,2008,805,761,81,162,0
128,COL,NL,2008,747,822,74,162,0
129,DET,AL,2008,821,857,74,162,0
130,FLA,NL,2008,770,767,84,161,0
131,HOU,NL,2008,712,743,86,161,0
132,KCR,AL,2008,691,781,75,162,0
133,LAA,AL,2008,765,697,100,162,1
134,LAD,NL,2008,700,648,84,162,1
135,MIL,NL,2008,750,689,90,162,1
136,MIN,AL,2008,829,745,88,163,0
137,NYM,NL,2008,799,715,89,162,0
138,NYY,AL,2008,789,727,89,162,0
139,OAK,AL,2008,646,690,75,161,0
140,PHI,NL,2008,799,680,92,162,1
141,PIT,NL,2008,735,884,67,162,0
142,SDP,NL,2008,637,764,63,162,0
143,SEA,AL,2008,671,811,61,162,0
144,SFG,NL,2008,640,759,72,162,0
145,STL,NL,2008,779,725,86,162,0
146,TBR,AL,2008,774,671,97,162,1
147,TEX,AL,2008,901,967,79,162,0
148,TOR,AL,2008,714,610,86,162,0
149,WSN,NL,2008,641,825,59,161,0
150,ARI,NL,2007,712,732,90,162,1
151,ATL,NL,2007,810,733,84,162,0
152,BAL,AL,2007,756,868,69,162,0
153,BOS,AL,2007,867,657,96,162,1
154,CHC,NL,2007,752,690,85,162,1
155,CHW,AL,2007,693,839,72,162,0
156,CIN,NL,2007,783,853,72,162,0
157,CLE,AL,2007,811,704,96,162,1
158,COL,NL,2007,860,758,90,163,1
159,DET,AL,2007,887,797,88,162,0
160,FLA,NL,2007,790,891,71,162,0
161,HOU,NL,2007,723,813,73,162,0
162,KCR,AL,2007,706,778,69,162,0
163,LAA,AL,2007,822,731,94,162,1
164,LAD,NL,2007,735,727,82,162,0
165,MIL,NL,2007,801,776,83,162,0
166,MIN,AL,2007,718,725,79,162,0
167,NYM,NL,2007,804,750,88,162,0
168,NYY,AL,2007,968,777,94,162,1
169,OAK,AL,2007,741,758,76,162,0
170,PHI,NL,2007,892,821,89,162,1
171,PIT,NL,2007,724,846,68,162,0
172,SDP,NL,2007,741,666,89,163,0
173,SEA,AL,2007,794,813,88,162,0
174,SFG,NL,2007,683,720,71,162,0
175,STL,NL,2007,725,829,78,162,0
176,TBD,AL,2007,782,944,66,162,0
177,TEX,AL,2007,816,844,75,162,0
178,TOR,AL,2007,753,699,83,162,0
179,WSN,NL,2007,673,783,73,162,0
180,ARI,NL,2006,773,788,76,162,0
181,ATL,NL,2006,849,805,79,162,0
